fixture_id,fixture_name,fixture_type,fixture_patch,sequence_count,cue_count,preset_count,group_count,effect_count,hard_value_atoms,preset_ref_atoms,group_ref_atoms,effect_ref_atoms,preset_types_available,top_attributes,attribute_frequency,feature_group_frequency,orphan_patch,is_sparse,control_mode
1,HelDGB8S 1,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.001,3,19,6,1,0,38,12,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 13, ""COLORRGB2"": 13, ""COLORRGB3"": 13, ""DIM"": 11}","{""Color"": 39, ""Dimmer"": 11}",False,False,mixed
2,HelDGB8S 2,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.025,7,70,10,3,0,50,21,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 18, ""COLORRGB2"": 18, ""COLORRGB3"": 18, ""DIM"": 17}","{""Color"": 54, ""Dimmer"": 17}",False,False,mixed
3,HelDGB8S 3,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.049,7,68,9,3,0,44,18,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 16, ""COLORRGB2"": 16, ""COLORRGB3"": 16, ""DIM"": 14}","{""Color"": 48, ""Dimmer"": 14}",False,False,mixed
4,HelDGB8S 4,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.073,7,67,9,3,0,40,18,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 15, ""COLORRGB2"": 15, ""COLORRGB3"": 15, ""DIM"": 13}","{""Color"": 45, ""Dimmer"": 13}",False,False,mixed
5,HelDGB8S 5,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.097,6,63,9,3,0,56,24,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 23, ""COLORRGB1"": 19, ""COLORRGB2"": 19, ""COLORRGB3"": 19}","{""Color"": 57, ""Dimmer"": 23}",False,False,mixed
6,HelDGB8S 6,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.121,6,63,9,3,0,43,18,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 16, ""COLORRGB2"": 16, ""COLORRGB3"": 16, ""DIM"": 13}","{""Color"": 48, ""Dimmer"": 13}",False,False,mixed
7,HelDGB8S 7,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.145,6,63,9,1,0,41,12,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 14, ""COLORRGB2"": 14, ""COLORRGB3"": 14, ""DIM"": 11}","{""Color"": 42, ""Dimmer"": 11}",False,False,mixed
8,HelDGB8S 8,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.169,6,63,9,2,0,49,15,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 19, ""COLORRGB1"": 15, ""COLORRGB2"": 15, ""COLORRGB3"": 15}","{""Color"": 45, ""Dimmer"": 19}",False,False,mixed
9,HelDGB8S 9,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.193,2,19,6,3,0,42,18,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 15, ""COLORRGB2"": 15, ""COLORRGB3"": 15, ""DIM"": 15}","{""Color"": 45, ""Dimmer"": 15}",False,False,mixed
10,HelDGB8S 10,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.217,2,13,6,1,0,38,12,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 13, ""COLORRGB2"": 13, ""COLORRGB3"": 13, ""DIM"": 11}","{""Color"": 39, ""Dimmer"": 11}",False,False,mixed
