fixture_id,fixture_name,fixture_type,fixture_patch,feature_group,hard_cue_count,preset_cue_count,mixed_cue_count,sequence_count,details
202,SPIDER 33 2,7 Robin Spiider Mode 3,4.436,Dimmer,40,23,16,2,family uses both hard and preset control across 47 cues
201,SPIDER 33 1,7 Robin Spiider Mode 3,4.403,Dimmer,39,20,14,2,family uses both hard and preset control across 45 cues
101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,Dimmer,33,25,12,2,family uses both hard and preset control across 46 cues
102,RSpiide3 2,7 Robin Spiider Mode 3,4.001,Dimmer,32,28,12,2,family uses both hard and preset control across 48 cues
101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,Color,15,23,8,1,family uses both hard and preset control across 30 cues
102,RSpiide3 2,7 Robin Spiider Mode 3,4.001,Color,14,26,8,1,family uses both hard and preset control across 32 cues
201,SPIDER 33 1,7 Robin Spiider Mode 3,4.403,Color,15,18,7,1,family uses both hard and preset control across 26 cues
108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,Dimmer,35,14,6,2,family uses both hard and preset control across 43 cues
106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,Dimmer,32,10,6,2,family uses both hard and preset control across 36 cues
107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,Dimmer,31,16,6,2,family uses both hard and preset control across 41 cues
101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,Position,17,24,6,1,family uses both hard and preset control across 35 cues
102,RSpiide3 2,7 Robin Spiider Mode 3,4.001,Position,15,27,6,1,family uses both hard and preset control across 36 cues
202,SPIDER 33 2,7 Robin Spiider Mode 3,4.436,Color,13,21,6,1,family uses both hard and preset control across 28 cues
103,RSpiide3 3,7 Robin Spiider Mode 3,4.067,Dimmer,22,8,5,2,family uses both hard and preset control across 25 cues
201,SPIDER 33 1,7 Robin Spiider Mode 3,4.403,Position,16,19,5,1,family uses both hard and preset control across 30 cues
202,SPIDER 33 2,7 Robin Spiider Mode 3,4.436,Position,16,22,5,1,family uses both hard and preset control across 33 cues
