fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,cue_count,sequence_count,cue_list_preview,details
202,SPIDER 33 2,7 Robin Spiider Mode 3,4.436,DIM,0.00,27,1,2.4 Hudba | 2.9 Racek astery 2:32 | 2.10 Klek zjeveni | 2.11 J. SOLO - 2:47 | 2.12 Dotancuje v pravo cca 4:50 | 2.19 Usinani 6:24 | 2.20 Solo Zacatek Bert | 2.21.5 Zpatky stred ...,repeated hard value candidate for preset cleanup
201,SPIDER 33 1,7 Robin Spiider Mode 3,4.403,DIM,0.00,26,1,2.4 Hudba | 2.9 Racek astery 2:32 | 2.10 Klek zjeveni | 2.11 J. SOLO - 2:47 | 2.12 Dotancuje v pravo cca 4:50 | 2.19 Usinani 6:24 | 2.20 Solo Zacatek Bert | 2.21.5 Zpatky stred ...,repeated hard value candidate for preset cleanup
101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,DIM,0.00,14,1,2.4 Hudba | 2.9 Racek astery 2:32 | 2.11 J. SOLO - 2:47 | 2.12 Dotancuje v pravo cca 4:50 | 2.19 Usinani 6:24 | 2.26 Jonathan svicka | 2.32 Po procesu - s hudbou | 2.34 Jon.Zustava sam ...,repeated hard value candidate for preset cleanup
106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,DIM,0.00,14,1,2.3 Prichod tanecniku | 2.9 Racek astery 2:32 | 2.18 Rackove rostazeny nohy 5:05 | 2.25 Vilda odchazi | 2.30.5 Soud - zelena- - bici hudba | 2.31 Soud - proces-Na-schody | 2.34 Jon.Zustava sam | 2.42 W.spot pryc ...,repeated hard value candidate for preset cleanup
107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,DIM,0.00,14,1,2.4 Hudba | 2.9 Racek astery 2:32 | 2.12 Dotancuje v pravo cca 4:50 | 2.14 Groteska W. hodi zradlo | 2.21 cela plocha | 2.29 Skupina posmesky | 2.33 Vilda Domluvi | 2.37 Jdou tunelem skoro hned driv ...,repeated hard value candidate for preset cleanup
108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,DIM,0.00,14,1,2.4 Hudba | 2.9 Racek astery 2:32 | 2.12 Dotancuje v pravo cca 4:50 | 2.20 Solo Zacatek Bert | 2.25 Vilda odchazi | 2.29 Skupina posmesky | 2.32 Po procesu - s hudbou | 2.37 Jdou tunelem skoro hned driv ...,repeated hard value candidate for preset cleanup
102,RSpiide3 2,7 Robin Spiider Mode 3,4.001,DIM,0.00,13,1,2.9 Racek astery 2:32 | 2.11 J. SOLO - 2:47 | 2.12 Dotancuje v pravo cca 4:50 | 2.19 Usinani 6:24 | 2.24 Jonatanuv PAD | 2.26 Jonathan svicka | 2.32 Po procesu - s hudbou | 2.38 Vkladaji astery POZA se k lidem-zastavi se ...,repeated hard value candidate for preset cleanup
105,RSpiide3 5,7 Robin Spiider Mode 3,4.133,DIM,0.00,10,1,2.3 Prichod tanecniku | 2.9 Racek astery 2:32 | 2.18 Rackove rostazeny nohy 5:05 | 2.20 Solo Zacatek Bert | 2.30.5 Soud - zelena- - bici hudba | 2.36 Jen prava strana - Wilda na schodech | 2.41 Jdou k nemu do rohu - Pouze astery | 2.55 Groteska boj o zradlo - Velikeho racka ...,repeated hard value candidate for preset cleanup
13,HelDGB8S 13,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.289,DIM,100.00,9,3,1.1 Cue 1 | 2.41 Jdou k nemu do rohu - Pouze astery | 2.57 Patrik ON | 2.60 Patrik ON | 2.66 Pat | 2.69 Astery ON | 2.71 Astery ON | 2.73 Astery ON ...,repeated hard value candidate for preset cleanup
31,HelDGB8S 31,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.241,DIM,0.00,9,1,2.16 Boj o zradlo - Na Housle 2:12 | 2.31 Soud - proces-Na-schody | 2.32 Po procesu - s hudbou | 2.35 zustava sam LET- GESTO | 2.41 Jdou k nemu do rohu - Pouze astery | 2.42 W.spot pryc | 2.43 Zhasnuti astery..Odkuleni c.9 | 2.55 Groteska boj o zradlo - Velikeho racka ...,repeated hard value candidate for preset cleanup
103,RSpiide3 3,7 Robin Spiider Mode 3,4.067,DIM,0.00,9,1,2.3 Prichod tanecniku | 2.18 Rackove rostazeny nohy 5:05 | 2.30.5 Soud - zelena- - bici hudba | 2.31 Soud - proces-Na-schody | 2.34 Jon.Zustava sam | 2.56 Vrsek J | 2.76 J+F duet - S hudbou | 2.84 TMA ...,repeated hard value candidate for preset cleanup
15,HelDGB8S 15,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.337,DIM,100.00,8,2,1.1 Cue 1 | 2.37 Jdou tunelem skoro hned driv | 2.40 Prichazi dalsi s asterama | 2.64 Nat | 2.69 Astery ON | 2.71 Astery ON | 2.73 Astery ON | 2.75 Naty ON,repeated hard value candidate for preset cleanup
15,HelDGB8S 15,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.337,DIM,0.00,8,1,2.41 Jdou k nemu do rohu - Pouze astery | 2.63 Adri | 2.68 Astery off | 2.70 Astery off | 2.72 Astery off | 2.74 Naty OFF | 2.76 J+F duet - S hudbou | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
104,RSpiide3 4,7 Robin Spiider Mode 3,4.100,DIM,0.00,8,1,2.3 Prichod tanecniku | 2.18 Rackove rostazeny nohy 5:05 | 2.30.5 Soud - zelena- - bici hudba | 2.36 Jen prava strana - Wilda na schodech | 2.41 Jdou k nemu do rohu - Pouze astery | 2.55 Groteska boj o zradlo - Velikeho racka | 2.83 Jirka pryc | 2.85.5 Muzikangti pryc jdou dolu,repeated hard value candidate for preset cleanup
