id,sequence_number,cue_number,name,fade,delay,trigger,command,part,is_main_cue_list,fixture_ids,fixture_details,references,value_count,source_file
cue:0:0:patch666_main_sequences.xml:1,0,0,Cue Zero,,,,,,True,1 2 3 4 5 6 7 8 222 21 22 23 24 31 32 25 26 27 28 41 42 43 51 52 53 9 10 11 12 13 14 15 16 17 18 29 30 33 34 35 36 37 38 54 87 1002 1001 86 85 84 83 82 81 76 74 73 72 71 68 67 66 65 64 63 62 61 44 40 39,1 | RSpiide3 1 | 6 SPIIDER 33CH Mode 3 | 3.001 || 2 | RSpiide3 2 | 6 SPIIDER 33CH Mode 3 || 3 | RSpiide3 3 | 6 SPIIDER 33CH Mode 3 | 3.034 || 4 | RSpiide3 4 | 6 SPIIDER 33CH Mode 3 | 3.067 || 5 | RSpiide3 5 | 6 SPIIDER 33CH Mode 3 || 6 | RSpiide3 6 | 6 SPIIDER 33CH Mode 3 | 3.100 || 7 | RSpiide3 7 | 6 SPIIDER 33CH Mode 3 | 3.133 || 8 | RSpiide3 8 | 6 SPIIDER 33CH Mode 3 | 3.166 || 222 | R3LEDWm2 1 | 9 Robin 300 LEDWash Mode 2 | 6.001 || 21 | Sp30012 1 | 9 Robin 300 LEDWash Mode 2 | 6.022 || 22 | Sp30012 2 | 9 Robin 300 LEDWash Mode 2 | 6.043 || 23 | Sp30012 3 | 9 Robin 300 LEDWash Mode 2 | 6.064 || 24 | Sp30012 4 | 9 Robin 300 LEDWash Mode 2 | 6.085 || 31 | NP300cR 1 | 8 FP1 Titan Tube RGBS 1 Pixel - Strobe On | 5.487 || 32 | NP300cR 2 | 8 FP1 Titan Tube RGBS 1 Pixel - Strobe On | 5.491 || 25 | Sp30012 5 | 4 Sixpar 300 12 Channel || 26 | Sp30012 6 | 4 Sixpar 300 12 Channel || 27 | Sp30012 7 | 4 Sixpar 300 12 Channel || 28 | Sp30012 8 | 4 Sixpar 300 12 Channel || 41 | RPointe1 1 | 10 Robin Pointe Mode 1 | 6.106 || 42 | RPointe1 2 | 10 Robin Pointe Mode 1 | 6.130 || 43 | RPointe1 3 | 10 Robin Pointe Mode 1 | 6.154 || 51 | LUMI 1 | 11 Lumipix 16H 8 channel | 7.001 || 52 | LUMI 2 | 11 Lumipix 16H 8 channel | 7.009 || 53 | LUMI 3 | 11 Lumipix 16H 8 channel | 7.017 || 9 || 10 || 11 || 12 || 13 || 14 || 15 || 16 || 17 || 18 || 29 || 30 || 33 || 34 || 35 || 36 || 37 || 38 || 54 || 87 || 1002 || 1001 || 86 || 85 || 84 || 83 || 82 || 81 || 76 || 74 || 73 || 72 || 71 || 68 || 67 || 66 || 65 || 64 || 63 || 62 || 61 || 44 || 40 || 39,,474,exports\patch666_main_sequences.xml
cue:0:1:patch666_main_sequences.xml:2,0,1,NIC,,,,,,True,7 8,7 | RSpiide3 7 | 6 SPIIDER 33CH Mode 3 | 3.133 || 8 | RSpiide3 8 | 6 SPIIDER 33CH Mode 3 | 3.166,,59,exports\patch666_main_sequences.xml
cue:0:2:patch666_main_sequences.xml:3,0,2,LIDI,4,,,,,True,1 3 4 5 6 222 21 22 23 24 25 26 27 28 2 29 30 31 33 34 35 36 37 38 1002 1001 44 43 42 41 40 39,1 | RSpiide3 1 | 6 SPIIDER 33CH Mode 3 | 3.001 || 3 | RSpiide3 3 | 6 SPIIDER 33CH Mode 3 | 3.034 || 4 | RSpiide3 4 | 6 SPIIDER 33CH Mode 3 | 3.067 || 5 | RSpiide3 5 | 6 SPIIDER 33CH Mode 3 || 6 | RSpiide3 6 | 6 SPIIDER 33CH Mode 3 | 3.100 || 222 | R3LEDWm2 1 | 9 Robin 300 LEDWash Mode 2 | 6.001 || 21 | Sp30012 1 | 9 Robin 300 LEDWash Mode 2 | 6.022 || 22 | Sp30012 2 | 9 Robin 300 LEDWash Mode 2 | 6.043 || 23 | Sp30012 3 | 9 Robin 300 LEDWash Mode 2 | 6.064 || 24 | Sp30012 4 | 9 Robin 300 LEDWash Mode 2 | 6.085 || 25 | Sp30012 5 | 4 Sixpar 300 12 Channel || 26 | Sp30012 6 | 4 Sixpar 300 12 Channel || 27 | Sp30012 7 | 4 Sixpar 300 12 Channel || 28 | Sp30012 8 | 4 Sixpar 300 12 Channel || 2 | RSpiide3 2 | 6 SPIIDER 33CH Mode 3 || 29 || 30 || 31 | NP300cR 1 | 8 FP1 Titan Tube RGBS 1 Pixel - Strobe On | 5.487 || 33 || 34 || 35 || 36 || 37 || 38 || 1002 || 1001 || 44 || 43 | RPointe1 3 | 10 Robin Pointe Mode 1 | 6.154 || 42 | RPointe1 2 | 10 Robin Pointe Mode 1 | 6.130 || 41 | RPointe1 1 | 10 Robin Pointe Mode 1 | 6.106 || 40 || 39,preset:1.8701264 | preset:13.675235 | preset:4.5034332,202,exports\patch666_main_sequences.xml
cue:0:3:patch666_main_sequences.xml:4,0,3,speaker ondra,3,,,,,True,3 222 2 6 28 29 30 31,3 | RSpiide3 3 | 6 SPIIDER 33CH Mode 3 | 3.034 || 222 | R3LEDWm2 1 | 9 Robin 300 LEDWash Mode 2 | 6.001 || 2 | RSpiide3 2 | 6 SPIIDER 33CH Mode 3 || 6 | RSpiide3 6 | 6 SPIIDER 33CH Mode 3 | 3.100 || 28 | Sp30012 8 | 4 Sixpar 300 12 Channel || 29 || 30 || 31 | NP300cR 1 | 8 FP1 Titan Tube RGBS 1 Pixel - Strobe On | 5.487,,9,exports\patch666_main_sequences.xml
cue:0:4:patch666_main_sequences.xml:5,0,4,Nastoupi si herci,20,,,,,True,3 2 6 28 29 30 31,3 | RSpiide3 3 | 6 SPIIDER 33CH Mode 3 | 3.034 || 2 | RSpiide3 2 | 6 SPIIDER 33CH Mode 3 || 6 | RSpiide3 6 | 6 SPIIDER 33CH Mode 3 | 3.100 || 28 | Sp30012 8 | 4 Sixpar 300 12 Channel || 29 || 30 || 31 | NP300cR 1 | 8 FP1 Titan Tube RGBS 1 Pixel - Strobe On | 5.487,,8,exports\patch666_main_sequences.xml
cue:0:5:patch666_main_sequences.xml:6,0,5,boom,2,,,,,True,3 4 5 6 222 21 22 23 24 25 26 27 28 2 29 30 31 33 34 35 36 37 38 1002 1001 44 43 42 41 40 39,3 | RSpiide3 3 | 6 SPIIDER 33CH Mode 3 | 3.034 || 4 | RSpiide3 4 | 6 SPIIDER 33CH Mode 3 | 3.067 || 5 | RSpiide3 5 | 6 SPIIDER 33CH Mode 3 || 6 | RSpiide3 6 | 6 SPIIDER 33CH Mode 3 | 3.100 || 222 | R3LEDWm2 1 | 9 Robin 300 LEDWash Mode 2 | 6.001 || 21 | Sp30012 1 | 9 Robin 300 LEDWash Mode 2 | 6.022 || 22 | Sp30012 2 | 9 Robin 300 LEDWash Mode 2 | 6.043 || 23 | Sp30012 3 | 9 Robin 300 LEDWash Mode 2 | 6.064 || 24 | Sp30012 4 | 9 Robin 300 LEDWash Mode 2 | 6.085 || 25 | Sp30012 5 | 4 Sixpar 300 12 Channel || 26 | Sp30012 6 | 4 Sixpar 300 12 Channel || 27 | Sp30012 7 | 4 Sixpar 300 12 Channel || 28 | Sp30012 8 | 4 Sixpar 300 12 Channel || 2 | RSpiide3 2 | 6 SPIIDER 33CH Mode 3 || 29 || 30 || 31 | NP300cR 1 | 8 FP1 Titan Tube RGBS 1 Pixel - Strobe On | 5.487 || 33 || 34 || 35 || 36 || 37 || 38 || 1002 || 1001 || 44 || 43 | RPointe1 3 | 10 Robin Pointe Mode 1 | 6.154 || 42 | RPointe1 2 | 10 Robin Pointe Mode 1 | 6.130 || 41 | RPointe1 1 | 10 Robin Pointe Mode 1 | 6.106 || 40 || 39,,72,exports\patch666_main_sequences.xml
cue:0:6:patch666_main_sequences.xml:7,0,6,Natalka - jde dopredu,8,,,,,True,2 4 5 222,2 | RSpiide3 2 | 6 SPIIDER 33CH Mode 3 || 4 | RSpiide3 4 | 6 SPIIDER 33CH Mode 3 | 3.067 || 5 | RSpiide3 5 | 6 SPIIDER 33CH Mode 3 || 222 | R3LEDWm2 1 | 9 Robin 300 LEDWash Mode 2 | 6.001,preset:13.414124 | preset:3.1520615,22,exports\patch666_main_sequences.xml
cue:0:7:patch666_main_sequences.xml:8,0,7,Hudba-bubinky,50,,,,,True,1 3 4 5 6 7 8 222 21 22 23 24 25 26 27 28 2 33 34 35 36 37 38 44 43 42 41 40 39,1 | RSpiide3 1 | 6 SPIIDER 33CH Mode 3 | 3.001 || 3 | RSpiide3 3 | 6 SPIIDER 33CH Mode 3 | 3.034 || 4 | RSpiide3 4 | 6 SPIIDER 33CH Mode 3 | 3.067 || 5 | RSpiide3 5 | 6 SPIIDER 33CH Mode 3 || 6 | RSpiide3 6 | 6 SPIIDER 33CH Mode 3 | 3.100 || 7 | RSpiide3 7 | 6 SPIIDER 33CH Mode 3 | 3.133 || 8 | RSpiide3 8 | 6 SPIIDER 33CH Mode 3 | 3.166 || 222 | R3LEDWm2 1 | 9 Robin 300 LEDWash Mode 2 | 6.001 || 21 | Sp30012 1 | 9 Robin 300 LEDWash Mode 2 | 6.022 || 22 | Sp30012 2 | 9 Robin 300 LEDWash Mode 2 | 6.043 || 23 | Sp30012 3 | 9 Robin 300 LEDWash Mode 2 | 6.064 || 24 | Sp30012 4 | 9 Robin 300 LEDWash Mode 2 | 6.085 || 25 | Sp30012 5 | 4 Sixpar 300 12 Channel || 26 | Sp30012 6 | 4 Sixpar 300 12 Channel || 27 | Sp30012 7 | 4 Sixpar 300 12 Channel || 28 | Sp30012 8 | 4 Sixpar 300 12 Channel || 2 | RSpiide3 2 | 6 SPIIDER 33CH Mode 3 || 33 || 34 || 35 || 36 || 37 || 38 || 44 || 43 | RPointe1 3 | 10 Robin Pointe Mode 1 | 6.154 || 42 | RPointe1 2 | 10 Robin Pointe Mode 1 | 6.130 || 41 | RPointe1 1 | 10 Robin Pointe Mode 1 | 6.106 || 40 || 39,preset:10.606071 | preset:13.414124 | preset:13.675219,206,exports\patch666_main_sequences.xml
cue:0:8:patch666_main_sequences.xml:9,0,8,ulice prava po hudbe,3,,,,,True,21 22 23 24 13 14 15 16 17 18 33 34 35 36 37 38 44 43 42 41 40 39,21 | Sp30012 1 | 9 Robin 300 LEDWash Mode 2 | 6.022 || 22 | Sp30012 2 | 9 Robin 300 LEDWash Mode 2 | 6.043 || 23 | Sp30012 3 | 9 Robin 300 LEDWash Mode 2 | 6.064 || 24 | Sp30012 4 | 9 Robin 300 LEDWash Mode 2 | 6.085 || 13 || 14 || 15 || 16 || 17 || 18 || 33 || 34 || 35 || 36 || 37 || 38 || 44 || 43 | RPointe1 3 | 10 Robin Pointe Mode 1 | 6.154 || 42 | RPointe1 2 | 10 Robin Pointe Mode 1 | 6.130 || 41 | RPointe1 1 | 10 Robin Pointe Mode 1 | 6.106 || 40 || 39,preset:1.7094114,36,exports\patch666_main_sequences.xml
cue:0:9:patch666_main_sequences.xml:10,0,9,ulice predni,3,,,,,True,7 8 9 10 11 12,7 | RSpiide3 7 | 6 SPIIDER 33CH Mode 3 | 3.133 || 8 | RSpiide3 8 | 6 SPIIDER 33CH Mode 3 | 3.166 || 9 || 10 || 11 || 12,,7,exports\patch666_main_sequences.xml
