id,sequence_number,cue_number,name,fade,delay,trigger,command,part,is_main_cue_list,fixture_ids,fixture_details,references,value_count,source_file
cue:1:0:patch666_main_sequences.xml:1,1,0,Cue 0,,,,,,True,1 2 3 4 5 6 7 8 222 21 22 23 24 31 32 25 26 27 28 41 42 43 51 52 53 9 10 11 12 13 14 15 16 17 18 29 30 33 34 35 36 37 38 54 87 1002 1001 86 85 84 83 82 81 76 74 73 72 71 68 67 66 65 64 63 62 61 44 40 39,1 | RSpiide3 1 || 2 | RSpiide3 2 || 3 | RSpiide3 3 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 7 | RSpiide3 7 || 8 | RSpiide3 8 || 222 | R3LEDWm2 1 || 21 | Sp30012 1 || 22 | Sp30012 2 || 23 | Sp30012 3 || 24 | Sp30012 4 || 31 | NP300cR 1 || 32 | NP300cR 2 || 25 | Sp30012 5 || 26 | Sp30012 6 || 27 | Sp30012 7 || 28 | Sp30012 8 || 41 | RPointe1 1 || 42 | RPointe1 2 || 43 | RPointe1 3 || 51 | LUMI 1 || 52 | LUMI 2 || 53 | LUMI 3 || 9 || 10 || 11 || 12 || 13 || 14 || 15 || 16 || 17 || 18 || 29 || 30 || 33 || 34 || 35 || 36 || 37 || 38 || 54 || 87 || 1002 || 1001 || 86 || 85 || 84 || 83 || 82 || 81 || 76 || 74 || 73 || 72 || 71 || 68 || 67 || 66 || 65 || 64 || 63 || 62 || 61 || 44 || 40 || 39,,11,exports\patch666_main_sequences.xml
cue:1:1:patch666_main_sequences.xml:2,1,1,Cue 1,,,,,,True,7 8,7 | RSpiide3 7 || 8 | RSpiide3 8,,14,exports\patch666_main_sequences.xml
cue:1:2:patch666_main_sequences.xml:3,1,2,Cue 2,,,,,,True,1 3 4 5 6 222 21 22 23 24 25 26 27 28 2 29 30 31 33 34 35 36 37 38 1002 1001 44 43 42 41 40 39,1 | RSpiide3 1 || 3 | RSpiide3 3 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 222 | R3LEDWm2 1 || 21 | Sp30012 1 || 22 | Sp30012 2 || 23 | Sp30012 3 || 24 | Sp30012 4 || 25 | Sp30012 5 || 26 | Sp30012 6 || 27 | Sp30012 7 || 28 | Sp30012 8 || 2 | RSpiide3 2 || 29 || 30 || 31 | NP300cR 1 || 33 || 34 || 35 || 36 || 37 || 38 || 1002 || 1001 || 44 || 43 | RPointe1 3 || 42 | RPointe1 2 || 41 | RPointe1 1 || 40 || 39,preset:1.8701264 | preset:13.675235 | preset:4.5034332,54,exports\patch666_main_sequences.xml
cue:1:3:patch666_main_sequences.xml:4,1,3,Cue 3,,,,,,True,3 222 2 6 28 29 30 31,3 | RSpiide3 3 || 222 | R3LEDWm2 1 || 2 | RSpiide3 2 || 6 | RSpiide3 6 || 28 | Sp30012 8 || 29 || 30 || 31 | NP300cR 1,,3,exports\patch666_main_sequences.xml
cue:1:4:patch666_main_sequences.xml:5,1,4,Cue 4,,,,,,True,3 2 6 28 29 30 31,3 | RSpiide3 3 || 2 | RSpiide3 2 || 6 | RSpiide3 6 || 28 | Sp30012 8 || 29 || 30 || 31 | NP300cR 1,,5,exports\patch666_main_sequences.xml
cue:1:5:patch666_main_sequences.xml:6,1,5,Cue 5,,,,,,True,3 4 5 6 222 21 22 23 24 25 26 27 28 2 29 30 31 33 34 35 36 37 38 1002 1001 44 43 42 41 40 39,3 | RSpiide3 3 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 222 | R3LEDWm2 1 || 21 | Sp30012 1 || 22 | Sp30012 2 || 23 | Sp30012 3 || 24 | Sp30012 4 || 25 | Sp30012 5 || 26 | Sp30012 6 || 27 | Sp30012 7 || 28 | Sp30012 8 || 2 | RSpiide3 2 || 29 || 30 || 31 | NP300cR 1 || 33 || 34 || 35 || 36 || 37 || 38 || 1002 || 1001 || 44 || 43 | RPointe1 3 || 42 | RPointe1 2 || 41 | RPointe1 1 || 40 || 39,,18,exports\patch666_main_sequences.xml
cue:1:6:patch666_main_sequences.xml:7,1,6,Cue 6,,,,,,True,2 4 5 222,2 | RSpiide3 2 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 222 | R3LEDWm2 1,preset:13.414124 | preset:3.1520615,24,exports\patch666_main_sequences.xml
cue:1:7:patch666_main_sequences.xml:8,1,7,Cue 7,,,,,,True,1 3 4 5 6 7 8 222 21 22 23 24 25 26 27 28 2 33 34 35 36 37 38 44 43 42 41 40 39,1 | RSpiide3 1 || 3 | RSpiide3 3 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 7 | RSpiide3 7 || 8 | RSpiide3 8 || 222 | R3LEDWm2 1 || 21 | Sp30012 1 || 22 | Sp30012 2 || 23 | Sp30012 3 || 24 | Sp30012 4 || 25 | Sp30012 5 || 26 | Sp30012 6 || 27 | Sp30012 7 || 28 | Sp30012 8 || 2 | RSpiide3 2 || 33 || 34 || 35 || 36 || 37 || 38 || 44 || 43 | RPointe1 3 || 42 | RPointe1 2 || 41 | RPointe1 1 || 40 || 39,preset:10.606071 | preset:13.414124 | preset:13.675219,33,exports\patch666_main_sequences.xml
cue:1:8:patch666_main_sequences.xml:9,1,8,Cue 8,,,,,,True,21 22 23 24 13 14 15 16 17 18 33 34 35 36 37 38 44 43 42 41 40 39,21 | Sp30012 1 || 22 | Sp30012 2 || 23 | Sp30012 3 || 24 | Sp30012 4 || 13 || 14 || 15 || 16 || 17 || 18 || 33 || 34 || 35 || 36 || 37 || 38 || 44 || 43 | RPointe1 3 || 42 | RPointe1 2 || 41 | RPointe1 1 || 40 || 39,preset:1.7094114,13,exports\patch666_main_sequences.xml
cue:1:9:patch666_main_sequences.xml:10,1,9,Cue 9,,,,,,True,7 8 9 10 11 12,7 | RSpiide3 7 || 8 | RSpiide3 8 || 9 || 10 || 11 || 12,,7,exports\patch666_main_sequences.xml
