owner_type,owner_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,value_type,fixture_id,reference_target,flags,source_path
cue,cue:1:0:patch666_main_sequences.xml:1,,,,text,0,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:0:patch666_main_sequences.xml:1,,,,text,0.0041199359,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:0:patch666_main_sequences.xml:1,,,,text,0.002059968,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:0:patch666_main_sequences.xml:1,,,,text,100,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:0:patch666_main_sequences.xml:1,,,,text,18.630159,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:0:patch666_main_sequences.xml:1,,,,text,49.999237,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:0:patch666_main_sequences.xml:1,,,,text,18.897638,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:0:patch666_main_sequences.xml:1,,,,text,0.0034332799,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:0:patch666_main_sequences.xml:1,,,,text,0.0022888533,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:0:patch666_main_sequences.xml:1,,,,text,50.000763,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:0:patch666_main_sequences.xml:1,,,,text,43.945313,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:1:patch666_main_sequences.xml:2,,,,text,odchazi z ulice ===,hard,,,[],Cue/InfoItems/Info
cue,cue:1:1:patch666_main_sequences.xml:2,,,,text,0,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:1:patch666_main_sequences.xml:2,,,,text,1,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:1:patch666_main_sequences.xml:2,,,,text,0,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:1:patch666_main_sequences.xml:2,,,,text,49,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:1:patch666_main_sequences.xml:2,,,,text,56.704136,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:1:patch666_main_sequences.xml:2,,,,text,-98.547897,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:1:patch666_main_sequences.xml:2,,,,text,99.999992,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:1:patch666_main_sequences.xml:2,,,,text,18.181826,hard,,,[],Cue/CueDatas/CueData/Value
