owner_type,owner_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,value_type,fixture_id,reference_target,flags,source_path
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,DIM,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,,,,text,0,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,SPLITFADE,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,OFFSETSHAPE,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,BACKGROUNDSEL,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,DIMMSHAPE,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,DIMMERBG,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,FOREGROUNDSTROBE,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,BACKGROUNDSTROBE,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,PAN,0.0041199359,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,,,,text,0.0041199359,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,TILT,0.002059968,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,,,,text,0.002059968,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,POSITIONMSPEED,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,LAMPCONTROL,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,COLORMIXER,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,COLORRGB1,100,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,,,,text,100,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,COLORRGB2,100,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,COLORRGB3,100,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,COLORRGB5,100,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,CTC,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,COLORMIXMODE,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,SHAPESEL,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,SHAPESPEED,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,SHAPEFADE,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,FLOWEREFFECT,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,REDSHAPE,100,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,GREENSHAPE,100,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,BLUESHAPE,100,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,WHITESHAPE,100,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,FLOWERCOLORMACROS,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,FLOWERSTROBE,18.630159,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,,,,text,18.630159,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,FLOWERDIMMER,0,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,ZOOM,49.999237,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,,,,text,49.999237,hard,,,[],Cue/CueDatas/CueData/Value
