sequence_number,cue_number,cue_name,fixture_id,fixture_name,fixture_type,fixture_patch,control_mode,hard_attribute_count,hard_attributes,dimmer_attribute_count,dimmer_attributes,preset_ref_count,preset_refs,preset_types
2,85,Dekovacka,104,RSpiide3 4,7 Robin Spiider Mode 3,4.100,mixed,15,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""TILT"", ""ZOOM""]",2,"[""DIM"", ""SHUTTER""]",1,"[""0.4""]","[""0""]"
2,85,Dekovacka,103,RSpiide3 3,7 Robin Spiider Mode 3,4.067,mixed,14,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""TILT""]",2,"[""DIM"", ""SHUTTER""]",1,"[""0.4""]","[""0""]"
2,25,Vilda odchazi,102,,,,mixed,12,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""LAMPCONTROL"", ""PAN"", ""POSITIONMSPEED"", ""TILT"", ""ZOOM""]",1,"[""SHUTTER""]",3,"[""0.17"", ""0.18"", ""0.5""]","[""0""]"
2,18,Rackove rostazeny nohy 5:05,102,,,,mixed,12,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""LAMPCONTROL"", ""PAN"", ""POSITIONMSPEED"", ""TILT"", ""ZOOM""]",2,"[""DIM"", ""SHUTTER""]",2,"[""0.17"", ""0.18""]","[""0""]"
2,18,Rackove rostazeny nohy 5:05,202,,,,mixed,12,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""LAMPCONTROL"", ""PAN"", ""POSITIONMSPEED"", ""TILT"", ""ZOOM""]",2,"[""DIM"", ""SHUTTER""]",2,"[""0.17"", ""0.18""]","[""0""]"
2,25,Vilda odchazi,101,,,,mixed,12,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""LAMPCONTROL"", ""PAN"", ""POSITIONMSPEED"", ""TILT"", ""ZOOM""]",2,"[""DIM"", ""SHUTTER""]",2,"[""0.17"", ""0.5""]","[""0""]"
2,18,Rackove rostazeny nohy 5:05,101,,,,mixed,12,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""LAMPCONTROL"", ""PAN"", ""POSITIONMSPEED"", ""TILT"", ""ZOOM""]",2,"[""DIM"", ""SHUTTER""]",1,"[""0.17""]","[""0""]"
2,18,Rackove rostazeny nohy 5:05,201,,,,mixed,12,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""LAMPCONTROL"", ""PAN"", ""POSITIONMSPEED"", ""TILT"", ""ZOOM""]",2,"[""DIM"", ""SHUTTER""]",1,"[""0.17""]","[""0""]"
2,86,lidi,107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,mixed,11,"[""COLORMIXER"", ""COLORMIXMODE"", ""CTC"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""TILT"", ""ZOOM""]",2,"[""DIM"", ""SHUTTER""]",1,"[""0.4""]","[""0""]"
2,86,lidi,108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,mixed,11,"[""COLORMIXER"", ""COLORMIXMODE"", ""CTC"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""TILT"", ""ZOOM""]",2,"[""DIM"", ""SHUTTER""]",1,"[""0.4""]","[""0""]"
