fixture_id,fixture_name,fixture_type,fixture_patch,sequence_count,cue_count,preset_count,group_count,effect_count,hard_value_atoms,dimmer_value_atoms,preset_ref_atoms,group_ref_atoms,effect_ref_atoms,preset_types_available,top_attributes,attribute_frequency,feature_group_frequency,orphan_patch,is_sparse,control_mode
1,,,,7,84,13,1,0,342,122,262,0,0,"[""0"", ""4""]","[""DIM"", ""DIM2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35""]","{""DIM"": 73, ""DIM2"": 63, ""COLORRGB1"": 61, ""COLORRGB2"": 61, ""COLORRGB3"": 61, ""COLORRGB5"": 48, ""COLORRGB31"": 47, ""COLORRGB32"": 47, ""COLORRGB33"": 47, ""COLORRGB35"": 47, ""PAN"": 15, ""TILT"": 15, ""ZOOM"": 15, ""SHUTTER"": 14, ""SHUTTER2"": 14, ""POSITIONMSPEED"": 12, ""FIXTUREGLOBALRESET"": 12, ""COLORMIXER"": 12, ""COLORTEMPERATURE"": 12, ""MODE3"": 12, ""EFFECTMACROS"": 12, ""EFFECTMACRORATE"": 12, ""EFFECTMACROTIME"": 12, ""MACROS"": 12, ""EFFECTMACROS2"": 12}","{""Color"": 443, ""Dimmer"": 164, ""Other"": 84, ""Position"": 42, ""Beam"": 15}",False,False,mixed
2,,,,10,128,27,3,0,275,108,185,0,0,"[""0"", ""4""]","[""DIM"", ""DIM2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35""]","{""DIM"": 70, ""DIM2"": 54, ""COLORRGB1"": 42, ""COLORRGB2"": 42, ""COLORRGB3"": 42, ""COLORRGB5"": 24, ""COLORRGB31"": 23, ""COLORRGB32"": 23, ""COLORRGB33"": 23, ""COLORRGB35"": 23, ""PAN"": 16, ""TILT"": 16, ""SHUTTER"": 16, ""ZOOM"": 16, ""SHUTTER2"": 16, ""POSITIONMSPEED"": 15, ""FIXTUREGLOBALRESET"": 15, ""COLORMIXER"": 15, ""COLORTEMPERATURE"": 15, ""MODE3"": 15, ""EFFECTMACROS"": 15, ""EFFECTMACRORATE"": 15, ""EFFECTMACROTIME"": 15, ""MACROS"": 15, ""EFFECTMACROS2"": 15}","{""Color"": 272, ""Dimmer"": 156, ""Other"": 105, ""Position"": 47, ""Beam"": 16}",False,False,mixed
3,,,,11,129,28,3,0,272,105,207,0,0,"[""0"", ""4""]","[""DIM"", ""DIM2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35""]","{""DIM"": 68, ""DIM2"": 55, ""COLORRGB1"": 41, ""COLORRGB2"": 41, ""COLORRGB3"": 41, ""COLORRGB5"": 25, ""COLORRGB31"": 24, ""COLORRGB32"": 24, ""COLORRGB33"": 24, ""COLORRGB35"": 24, ""PAN"": 17, ""TILT"": 17, ""SHUTTER"": 17, ""ZOOM"": 17, ""SHUTTER2"": 17, ""POSITIONMSPEED"": 16, ""FIXTUREGLOBALRESET"": 16, ""COLORMIXER"": 16, ""COLORTEMPERATURE"": 16, ""MODE3"": 16, ""EFFECTMACROS"": 16, ""EFFECTMACRORATE"": 16, ""EFFECTMACROTIME"": 16, ""MACROS"": 16, ""EFFECTMACROS2"": 16}","{""Color"": 276, ""Dimmer"": 157, ""Other"": 112, ""Position"": 50, ""Beam"": 17}",False,False,mixed
4,,,,12,128,26,3,0,238,78,182,0,0,"[""0"", ""4""]","[""DIM"", ""DIM2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35""]","{""DIM"": 50, ""DIM2"": 38, ""COLORRGB1"": 38, ""COLORRGB2"": 38, ""COLORRGB3"": 38, ""COLORRGB5"": 23, ""COLORRGB31"": 22, ""COLORRGB32"": 22, ""COLORRGB33"": 22, ""COLORRGB35"": 22, ""PAN"": 15, ""TILT"": 15, ""SHUTTER"": 15, ""ZOOM"": 15, ""SHUTTER2"": 15, ""POSITIONMSPEED"": 13, ""FIXTUREGLOBALRESET"": 13, ""COLORMIXER"": 13, ""COLORTEMPERATURE"": 13, ""MODE3"": 13, ""EFFECTMACROS"": 13, ""EFFECTMACRORATE"": 13, ""EFFECTMACROTIME"": 13, ""MACROS"": 13, ""EFFECTMACROS2"": 13}","{""Color"": 251, ""Dimmer"": 118, ""Other"": 91, ""Position"": 43, ""Beam"": 15}",False,False,mixed
5,,,,9,134,26,3,0,348,134,274,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM2"", ""COLORRGB5"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35""]","{""DIM"": 85, ""COLORRGB1"": 67, ""COLORRGB2"": 67, ""COLORRGB3"": 67, ""DIM2"": 63, ""COLORRGB5"": 48, ""COLORRGB31"": 47, ""COLORRGB32"": 47, ""COLORRGB33"": 47, ""COLORRGB35"": 47, ""PAN"": 15, ""TILT"": 15, ""ZOOM"": 15, ""SHUTTER"": 14, ""SHUTTER2"": 14, ""POSITIONMSPEED"": 12, ""FIXTUREGLOBALRESET"": 12, ""COLORMIXER"": 12, ""COLORTEMPERATURE"": 12, ""MODE3"": 12, ""EFFECTMACROS"": 12, ""EFFECTMACRORATE"": 12, ""EFFECTMACROTIME"": 12, ""MACROS"": 12, ""EFFECTMACROS2"": 12}","{""Color"": 461, ""Dimmer"": 176, ""Other"": 84, ""Position"": 42, ""Beam"": 15}",False,False,mixed
6,,,,11,123,28,3,0,272,102,182,0,0,"[""0"", ""4""]","[""DIM"", ""DIM2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35""]","{""DIM"": 65, ""DIM2"": 53, ""COLORRGB1"": 40, ""COLORRGB2"": 40, ""COLORRGB3"": 40, ""COLORRGB5"": 24, ""COLORRGB31"": 23, ""COLORRGB32"": 23, ""COLORRGB33"": 23, ""COLORRGB35"": 23, ""PAN"": 16, ""TILT"": 16, ""SHUTTER"": 16, ""ZOOM"": 16, ""SHUTTER2"": 16, ""POSITIONMSPEED"": 15, ""FIXTUREGLOBALRESET"": 15, ""COLORMIXER"": 15, ""COLORTEMPERATURE"": 15, ""MODE3"": 15, ""EFFECTMACROS"": 15, ""EFFECTMACRORATE"": 15, ""EFFECTMACROTIME"": 15, ""MACROS"": 15, ""EFFECTMACROS2"": 15}","{""Color"": 266, ""Dimmer"": 150, ""Other"": 105, ""Position"": 47, ""Beam"": 16}",False,False,mixed
7,,,,11,126,28,1,0,283,102,203,0,0,"[""0"", ""4""]","[""DIM"", ""DIM2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35""]","{""DIM"": 67, ""DIM2"": 57, ""COLORRGB1"": 40, ""COLORRGB2"": 40, ""COLORRGB3"": 40, ""COLORRGB5"": 26, ""COLORRGB31"": 25, ""COLORRGB32"": 25, ""COLORRGB33"": 25, ""COLORRGB35"": 25, ""PAN"": 18, ""TILT"": 18, ""ZOOM"": 18, ""SHUTTER"": 17, ""SHUTTER2"": 17, ""POSITIONMSPEED"": 16, ""FIXTUREGLOBALRESET"": 16, ""COLORMIXER"": 16, ""COLORTEMPERATURE"": 16, ""MODE3"": 16, ""EFFECTMACROS"": 16, ""EFFECTMACRORATE"": 16, ""EFFECTMACROTIME"": 16, ""MACROS"": 16, ""EFFECTMACROS2"": 16}","{""Color"": 278, ""Dimmer"": 158, ""Other"": 112, ""Position"": 52, ""Beam"": 18}",False,False,mixed
8,,,,10,122,26,2,0,230,78,179,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM2"", ""COLORRGB5"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35""]","{""DIM"": 54, ""COLORRGB1"": 37, ""COLORRGB2"": 37, ""COLORRGB3"": 37, ""DIM2"": 36, ""COLORRGB5"": 22, ""COLORRGB31"": 21, ""COLORRGB32"": 21, ""COLORRGB33"": 21, ""COLORRGB35"": 21, ""PAN"": 14, ""TILT"": 14, ""SHUTTER"": 14, ""ZOOM"": 14, ""SHUTTER2"": 14, ""POSITIONMSPEED"": 13, ""FIXTUREGLOBALRESET"": 13, ""COLORMIXER"": 13, ""COLORTEMPERATURE"": 13, ""MODE3"": 13, ""EFFECTMACROS"": 13, ""EFFECTMACRORATE"": 13, ""EFFECTMACROTIME"": 13, ""MACROS"": 13, ""EFFECTMACROS2"": 13}","{""Color"": 243, ""Dimmer"": 118, ""Other"": 91, ""Position"": 41, ""Beam"": 14}",False,False,mixed
9,,,,7,61,17,3,0,27,14,18,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 15, ""COLORRGB2"": 15, ""COLORRGB3"": 15, ""DIM"": 14}","{""Color"": 45, ""Dimmer"": 14}",False,False,mixed
10,,,,6,36,17,1,0,27,10,12,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 13, ""COLORRGB2"": 13, ""COLORRGB3"": 13, ""DIM"": 10}","{""Color"": 39, ""Dimmer"": 10}",False,False,mixed
