fixture_id,fixture_name,fixture_type,fixture_patch,feature_group,hard_cue_count,preset_cue_count,mixed_cue_count,sequence_count,details
101,,,,Color,15,31,8,2,family uses both hard and preset control across 38 cues
102,,,,Color,14,34,8,2,family uses both hard and preset control across 40 cues
201,,,,Color,15,25,7,2,family uses both hard and preset control across 33 cues
101,,,,Position,17,32,6,2,family uses both hard and preset control across 43 cues
102,,,,Position,15,35,6,2,family uses both hard and preset control across 44 cues
202,,,,Color,13,28,6,2,family uses both hard and preset control across 35 cues
201,,,,Position,16,25,5,2,family uses both hard and preset control across 36 cues
202,,,,Position,16,28,5,2,family uses both hard and preset control across 39 cues
21,,,,Color,12,30,5,3,family uses both hard and preset control across 37 cues
22,,,,Color,12,30,5,3,family uses both hard and preset control across 37 cues
23,,,,Color,12,30,5,3,family uses both hard and preset control across 37 cues
24,,,,Color,12,30,5,3,family uses both hard and preset control across 37 cues
25,,,,Color,12,30,5,3,family uses both hard and preset control across 37 cues
26,,,,Color,12,30,5,3,family uses both hard and preset control across 37 cues
108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,Color,12,42,5,2,family uses both hard and preset control across 49 cues
106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,Position,10,22,5,2,family uses both hard and preset control across 27 cues
106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,Color,9,23,5,2,family uses both hard and preset control across 27 cues
5,,,,Color,28,42,4,4,family uses both hard and preset control across 66 cues
2,,,,Color,16,42,4,3,family uses both hard and preset control across 54 cues
108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,Position,13,43,4,2,family uses both hard and preset control across 52 cues
107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,Color,11,44,4,2,family uses both hard and preset control across 51 cues
27,,,,Color,9,27,4,2,family uses both hard and preset control across 32 cues
28,,,,Color,9,27,4,2,family uses both hard and preset control across 32 cues
101,,,,Other,7,31,4,2,family uses both hard and preset control across 34 cues
102,,,,Other,7,34,4,2,family uses both hard and preset control across 37 cues
1,,,,Color,27,42,3,4,family uses both hard and preset control across 66 cues
3,,,,Color,15,43,3,3,family uses both hard and preset control across 55 cues
4,,,,Color,15,42,3,4,family uses both hard and preset control across 54 cues
6,,,,Color,14,42,3,3,family uses both hard and preset control across 53 cues
7,,,,Color,14,43,3,3,family uses both hard and preset control across 54 cues
8,,,,Color,14,42,3,3,family uses both hard and preset control across 53 cues
201,,,,Beam,13,25,3,2,family uses both hard and preset control across 35 cues
107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,Beam,12,43,3,2,family uses both hard and preset control across 52 cues
101,,,,Beam,11,32,3,2,family uses both hard and preset control across 40 cues
107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,Position,11,45,3,2,family uses both hard and preset control across 53 cues
29,,,,Color,8,24,3,2,family uses both hard and preset control across 29 cues
30,,,,Color,7,24,3,2,family uses both hard and preset control across 28 cues
31,,,,Color,7,24,3,2,family uses both hard and preset control across 28 cues
32,,,,Color,7,24,3,2,family uses both hard and preset control across 28 cues
15,,,,Color,6,28,3,2,family uses both hard and preset control across 31 cues
201,,,,Other,6,25,3,2,family uses both hard and preset control across 28 cues
202,,,,Other,6,28,3,2,family uses both hard and preset control across 31 cues
103,RSpiide3 3,7 Robin Spiider Mode 3,4.067,Color,5,29,3,2,family uses both hard and preset control across 31 cues
41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,Color,19,30,2,2,family uses both hard and preset control across 47 cues
42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,Color,19,30,2,2,family uses both hard and preset control across 47 cues
47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,Color,19,30,2,2,family uses both hard and preset control across 47 cues
48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,Color,19,30,2,2,family uses both hard and preset control across 47 cues
102,,,,Beam,8,35,2,2,family uses both hard and preset control across 41 cues
14,,,,Color,7,30,2,3,family uses both hard and preset control across 35 cues
43,RLB350M1 3,12 Robin LEDBeam 350 Mode 1,13.045,Color,6,18,2,1,family uses both hard and preset control across 22 cues
44,RLB350M1 4,12 Robin LEDBeam 350 Mode 1,13.067,Color,6,18,2,1,family uses both hard and preset control across 22 cues
45,RLB350M1 5,12 Robin LEDBeam 350 Mode 1,13.089,Color,6,18,2,1,family uses both hard and preset control across 22 cues
46,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,13.111,Color,6,18,2,1,family uses both hard and preset control across 22 cues
49,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,5.045,Color,6,18,2,1,family uses both hard and preset control across 22 cues
50,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,5.067,Color,6,18,2,1,family uses both hard and preset control across 22 cues
51,RLB350M1 11,12 Robin LEDBeam 350 Mode 1,5.089,Color,6,18,2,1,family uses both hard and preset control across 22 cues
52,RLB350M1 12,12 Robin LEDBeam 350 Mode 1,5.111,Color,6,18,2,1,family uses both hard and preset control across 22 cues
106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,Beam,6,22,2,2,family uses both hard and preset control across 26 cues
