sequence_number,sequence_name,cue_number,cue_name,trigger,fade,delay,command,fixture_ids,fixture_details,references,preset_refs,effect_refs,group_refs,dimmer_value_count,hard_value_count,hard_value_attributes,hard_value_preview,source_file
2,qju,0,Cue Zero,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 101, 102, 103, 104, 105, 106, 107, 108, 201, 202, 1001, 1002, 1003, 1004, 1005, 1006]","[""1 | Fixture 1"", ""2 | Fixture 2"", ""3 | Fixture 3"", ""4 | Fixture 4"", ""5 | Fixture 5"", ""6 | Fixture 6"", ""7 | Fixture 7"", ""8 | Fixture 8"", ""9 | Fixture 9"", ""10 | Fixture 10"", ""11 | Fixture 11"", ""12 | Fixture 12"", ""13 | Fixture 13"", ""14 | Fixture 14"", ""15 | Fixture 15"", ""16 | Fixture 16"", ""17 | Fixture 17"", ""18 | Fixture 18"", ""19 | Fixture 19"", ""20 | Fixture 20"", ""21 | Fixture 21"", ""22 | Fixture 22"", ""23 | Fixture 23"", ""24 | Fixture 24"", ""25 | Fixture 25"", ""26 | Fixture 26"", ""27 | Fixture 27"", ""28 | Fixture 28"", ""29 | Fixture 29"", ""30 | Fixture 30"", ""31 | Fixture 31"", ""32 | Fixture 32"", ""33 | Fixture 33"", ""34 | Fixture 34"", ""35 | Fixture 35"", ""36 | Fixture 36"", ""37 | Fixture 37"", ""38 | Fixture 38"", ""39 | Fixture 39"", ""40 | Fixture 40"", ""101 | Fixture 101"", ""102 | Fixture 102"", ""103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067"", ""104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100"", ""105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133"", ""106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166"", ""107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271"", ""108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304"", ""201 | Fixture 201"", ""202 | Fixture 202"", ""1001"", ""1002"", ""1003"", ""1004"", ""1005"", ""1006""]",[],[],[],[],66,278,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""FLOWERCOLORMACROS"", ""FLOWEREFFECT"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""TILT"", ""ZOOM""]","[{""attribute"": ""COLORRGB1"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 1}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 1}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 1}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 2}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 2}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 2}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 3}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 3}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 3}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 4}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 4}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 4}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 5}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 5}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 5}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 6}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 6}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 6}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 7}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""DefaultLink"", ""fixture_id"": 7}]",exports\Tram_Analyz_main_sequences.xml
2,qju,1,chrrrrrrrrrrr,,,,,[],[],[],[],[],[],0,0,[],[],exports\Tram_Analyz_main_sequences.xml
2,qju,2,lidi,,3,,,"[101, 102, 103, 104, 105, 106, 107, 108, 201, 202, 1001, 1, 1002, 2, 1003, 3, 1004, 4]","[""101 | Fixture 101"", ""102 | Fixture 102"", ""103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067"", ""104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100"", ""105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133"", ""106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166"", ""107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271"", ""108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304"", ""201 | Fixture 201"", ""202 | Fixture 202"", ""1001"", ""1 | Fixture 1"", ""1002"", ""2 | Fixture 2"", ""1003"", ""3 | Fixture 3"", ""1004"", ""4 | Fixture 4""]","[""preset:0.16"", ""preset:0.4""]","[""preset:0.16"", ""preset:0.4""]",[],[],10,3,"[""ZOOM"", ""basic_fade""]","[{""attribute"": ""ZOOM"", ""raw_value"": ""79.50"", ""fixture_id"": 107}, {""attribute"": ""ZOOM"", ""raw_value"": ""79.50"", ""fixture_id"": 108}, {""attribute"": ""basic_fade"", ""raw_value"": ""3.00"", ""fixture_id"": null}]",exports\Tram_Analyz_main_sequences.xml
2,qju,3,Prichod tanecniku,,12,,,"[103, 104, 105, 106, 107, 108, 1001, 1, 1002, 2, 1003, 3, 1004, 4]","[""103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067"", ""104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100"", ""105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133"", ""106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166"", ""107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271"", ""108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304"", ""1001"", ""1 | Fixture 1"", ""1002"", ""2 | Fixture 2"", ""1003"", ""3 | Fixture 3"", ""1004"", ""4 | Fixture 4""]","[""preset:0.49""]","[""preset:0.49""]",[],[],8,13,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM"", ""basic_fade"", ""text""]","[{""attribute"": ""text"", ""raw_value"": ""3-2-1 s hudbou"", ""fixture_id"": null}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""0.00"", ""fixture_id"": 103}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""0.00"", ""fixture_id"": 103}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""0.00"", ""fixture_id"": 103}, {""attribute"": ""COLORRGB5"", ""raw_value"": ""100.00"", ""fixture_id"": 103}, {""attribute"": ""PAN"", ""raw_value"": ""70.20"", ""fixture_id"": 106}, {""attribute"": ""TILT"", ""raw_value"": ""93.15"", ""fixture_id"": 106}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""0.00"", ""fixture_id"": 106}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""0.00"", ""fixture_id"": 106}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""0.00"", ""fixture_id"": 106}, {""attribute"": ""COLORRGB5"", ""raw_value"": ""100.00"", ""fixture_id"": 106}, {""attribute"": ""ZOOM"", ""raw_value"": ""53.50"", ""fixture_id"": 106}, {""attribute"": ""basic_fade"", ""raw_value"": ""12.00"", ""fixture_id"": null}]",exports\Tram_Analyz_main_sequences.xml
2,qju,4,Hudba,,15,,,"[101, 102, 2, 105, 106, 107, 108, 201, 202]","[""101 | Fixture 101"", ""102 | Fixture 102"", ""2 | Fixture 2"", ""105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133"", ""106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166"", ""107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271"", ""108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304"", ""201 | Fixture 201"", ""202 | Fixture 202""]","[""preset:0.18"", ""preset:0.65"", ""preset:0.66""]","[""preset:0.18"", ""preset:0.65"", ""preset:0.66""]",[],[],7,10,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""basic_fade"", ""text""]","[{""attribute"": ""text"", ""raw_value"": ""2:00:00:00"", ""fixture_id"": null}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""79.49"", ""fixture_id"": 102}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""90.21"", ""fixture_id"": 102}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""100.00"", ""fixture_id"": 102}, {""attribute"": ""COLORRGB5"", ""raw_value"": ""0.00"", ""fixture_id"": 102}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""79.49"", ""fixture_id"": 202}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""90.21"", ""fixture_id"": 202}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""100.00"", ""fixture_id"": 202}, {""attribute"": ""COLORRGB5"", ""raw_value"": ""0.00"", ""fixture_id"": 202}, {""attribute"": ""basic_fade"", ""raw_value"": ""15.00"", ""fixture_id"": null}]",exports\Tram_Analyz_main_sequences.xml
2,qju,5,Astera -jonatan s mantrou,,9,,,"[25, 2, 3, 4, 5, 6, 7, 8]","[""25 | Fixture 25"", ""2 | Fixture 2"", ""3 | Fixture 3"", ""4 | Fixture 4"", ""5 | Fixture 5"", ""6 | Fixture 6"", ""7 | Fixture 7"", ""8 | Fixture 8""]",[],[],[],[],0,2,"[""basic_fade"", ""text""]","[{""attribute"": ""text"", ""raw_value"": ""Jirka audio \""VYTRVAT\"""", ""fixture_id"": null}, {""attribute"": ""basic_fade"", ""raw_value"": ""9.00"", ""fixture_id"": null}]",exports\Tram_Analyz_main_sequences.xml
2,qju,6,Jonatan odchazi z hejna - 1:26,,15,,,"[101, 104, 107, 108, 201, 202]","[""101 | Fixture 101"", ""104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100"", ""107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271"", ""108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304"", ""201 | Fixture 201"", ""202 | Fixture 202""]","[""preset:0.17"", ""preset:0.19""]","[""preset:0.17"", ""preset:0.19""]",[],[],0,10,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM"", ""basic_fade""]","[{""attribute"": ""PAN"", ""raw_value"": ""-24.30"", ""fixture_id"": 104}, {""attribute"": ""TILT"", ""raw_value"": ""113.85"", ""fixture_id"": 104}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""1.96"", ""fixture_id"": 104}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""9.66"", ""fixture_id"": 104}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""46.15"", ""fixture_id"": 104}, {""attribute"": ""COLORRGB5"", ""raw_value"": ""57.26"", ""fixture_id"": 104}, {""attribute"": ""ZOOM"", ""raw_value"": ""70.00"", ""fixture_id"": 104}, {""attribute"": ""PAN"", ""raw_value"": ""6.75"", ""fixture_id"": 202}, {""attribute"": ""TILT"", ""raw_value"": ""104.65"", ""fixture_id"": 202}, {""attribute"": ""basic_fade"", ""raw_value"": ""15.00"", ""fixture_id"": null}]",exports\Tram_Analyz_main_sequences.xml
2,qju,7,Jirka ze schodu u soklu - 1:50,,6,,,"[101, 2, 102, 106, 107, 201, 202]","[""101 | Fixture 101"", ""2 | Fixture 2"", ""102 | Fixture 102"", ""106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166"", ""107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271"", ""201 | Fixture 201"", ""202 | Fixture 202""]",[],[],[],[],4,32,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM"", ""basic_fade""]","[{""attribute"": ""COLORRGB1"", ""raw_value"": ""2.21"", ""fixture_id"": 101}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""27.95"", ""fixture_id"": 101}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""44.16"", ""fixture_id"": 101}, {""attribute"": ""COLORRGB5"", ""raw_value"": ""59.54"", ""fixture_id"": 101}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""59.54"", ""fixture_id"": 101}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""84.37"", ""fixture_id"": 101}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""100.00"", ""fixture_id"": 101}, {""attribute"": ""COLORRGB5"", ""raw_value"": ""0.00"", ""fixture_id"": 101}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""2.21"", ""fixture_id"": 102}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""27.95"", ""fixture_id"": 102}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""44.16"", ""fixture_id"": 102}, {""attribute"": ""COLORRGB5"", ""raw_value"": ""59.54"", ""fixture_id"": 102}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""3.35"", ""fixture_id"": 106}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""2.63"", ""fixture_id"": 106}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""26.50"", ""fixture_id"": 106}, {""attribute"": ""COLORRGB5"", ""raw_value"": ""76.92"", ""fixture_id"": 106}, {""attribute"": ""ZOOM"", ""raw_value"": ""67.00"", ""fixture_id"": 107}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""2.21"", ""fixture_id"": 201}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""27.95"", ""fixture_id"": 201}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""44.16"", ""fixture_id"": 201}]",exports\Tram_Analyz_main_sequences.xml
2,qju,8,Astera Jirka u stolu,,6,,,"[40, 2, 3, 4, 5, 6, 7, 8, 102, 202]","[""40 | Fixture 40"", ""2 | Fixture 2"", ""3 | Fixture 3"", ""4 | Fixture 4"", ""5 | Fixture 5"", ""6 | Fixture 6"", ""7 | Fixture 7"", ""8 | Fixture 8"", ""102 | Fixture 102"", ""202 | Fixture 202""]","[""preset:0.18""]","[""preset:0.18""]",[],[],2,5,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""basic_fade""]","[{""attribute"": ""COLORRGB1"", ""raw_value"": ""2.21"", ""fixture_id"": 102}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""27.95"", ""fixture_id"": 102}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""44.16"", ""fixture_id"": 102}, {""attribute"": ""COLORRGB5"", ""raw_value"": ""59.54"", ""fixture_id"": 102}, {""attribute"": ""basic_fade"", ""raw_value"": ""6.00"", ""fixture_id"": null}]",exports\Tram_Analyz_main_sequences.xml
2,qju,9,Racek astery 2:32,,1,,,"[21, 2, 3, 4, 5, 6, 7, 8, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 40, 101, 102, 105, 106, 107, 108, 201, 202]","[""21 | Fixture 21"", ""2 | Fixture 2"", ""3 | Fixture 3"", ""4 | Fixture 4"", ""5 | Fixture 5"", ""6 | Fixture 6"", ""7 | Fixture 7"", ""8 | Fixture 8"", ""22 | Fixture 22"", ""23 | Fixture 23"", ""24 | Fixture 24"", ""25 | Fixture 25"", ""26 | Fixture 26"", ""27 | Fixture 27"", ""28 | Fixture 28"", ""29 | Fixture 29"", ""30 | Fixture 30"", ""31 | Fixture 31"", ""32 | Fixture 32"", ""40 | Fixture 40"", ""101 | Fixture 101"", ""102 | Fixture 102"", ""105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133"", ""106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166"", ""107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271"", ""108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304"", ""201 | Fixture 201"", ""202 | Fixture 202""]","[""preset:4.10""]","[""preset:4.10""]",[],[],20,42,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""PAN"", ""TILT"", ""basic_fade"", ""text""]","[{""attribute"": ""text"", ""raw_value"": ""Bert probiha tunelem"", ""fixture_id"": null}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""100.00"", ""fixture_id"": 21}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""53.79"", ""fixture_id"": 21}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""0.00"", ""fixture_id"": 21}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""100.00"", ""fixture_id"": 22}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""53.79"", ""fixture_id"": 22}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""0.00"", ""fixture_id"": 22}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""100.00"", ""fixture_id"": 23}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""53.79"", ""fixture_id"": 23}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""0.00"", ""fixture_id"": 23}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""100.00"", ""fixture_id"": 24}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""53.79"", ""fixture_id"": 24}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""0.00"", ""fixture_id"": 24}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""100.00"", ""fixture_id"": 25}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""53.79"", ""fixture_id"": 25}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""0.00"", ""fixture_id"": 25}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""100.00"", ""fixture_id"": 26}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""53.79"", ""fixture_id"": 26}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""0.00"", ""fixture_id"": 26}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""100.00"", ""fixture_id"": 27}]",exports\Tram_Analyz_main_sequences.xml
