sequence_number,sequence_name,cue_number,cue_name,attribute,raw_value,value_type,fixture_id,fixture_name,fixture_type,fixture_patch,reference_target,flags,source_path,is_hard_value,is_dimmer_value,source_file
2,qju,0,Cue Zero,DIM,DefaultLink,hard,1,,,,,[],Cue/CueDatas/CueData,False,True,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB1,DefaultLink,hard,1,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB2,DefaultLink,hard,1,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB3,DefaultLink,hard,1,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,DIM,DefaultLink,hard,2,,,,,[],Cue/CueDatas/CueData,False,True,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB1,DefaultLink,hard,2,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB2,DefaultLink,hard,2,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB3,DefaultLink,hard,2,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,DIM,DefaultLink,hard,3,,,,,[],Cue/CueDatas/CueData,False,True,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB1,DefaultLink,hard,3,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB2,DefaultLink,hard,3,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB3,DefaultLink,hard,3,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,DIM,DefaultLink,hard,4,,,,,[],Cue/CueDatas/CueData,False,True,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB1,DefaultLink,hard,4,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB2,DefaultLink,hard,4,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB3,DefaultLink,hard,4,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,DIM,DefaultLink,hard,5,,,,,[],Cue/CueDatas/CueData,False,True,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB1,DefaultLink,hard,5,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB2,DefaultLink,hard,5,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB3,DefaultLink,hard,5,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,DIM,DefaultLink,hard,6,,,,,[],Cue/CueDatas/CueData,False,True,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB1,DefaultLink,hard,6,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB2,DefaultLink,hard,6,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB3,DefaultLink,hard,6,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,DIM,DefaultLink,hard,7,,,,,[],Cue/CueDatas/CueData,False,True,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB1,DefaultLink,hard,7,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB2,DefaultLink,hard,7,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB3,DefaultLink,hard,7,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,DIM,DefaultLink,hard,8,,,,,[],Cue/CueDatas/CueData,False,True,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB1,DefaultLink,hard,8,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB2,DefaultLink,hard,8,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB3,DefaultLink,hard,8,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,DIM,DefaultLink,hard,9,,,,,[],Cue/CueDatas/CueData,False,True,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB1,DefaultLink,hard,9,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB2,DefaultLink,hard,9,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB3,DefaultLink,hard,9,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,DIM,DefaultLink,hard,10,,,,,[],Cue/CueDatas/CueData,False,True,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB1,DefaultLink,hard,10,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB2,DefaultLink,hard,10,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB3,DefaultLink,hard,10,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,DIM,DefaultLink,hard,11,,,,,[],Cue/CueDatas/CueData,False,True,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB1,DefaultLink,hard,11,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB2,DefaultLink,hard,11,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB3,DefaultLink,hard,11,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,DIM,DefaultLink,hard,12,,,,,[],Cue/CueDatas/CueData,False,True,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB1,DefaultLink,hard,12,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB2,DefaultLink,hard,12,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB3,DefaultLink,hard,12,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,DIM,DefaultLink,hard,13,,,,,[],Cue/CueDatas/CueData,False,True,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB1,DefaultLink,hard,13,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB2,DefaultLink,hard,13,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB3,DefaultLink,hard,13,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,DIM,DefaultLink,hard,14,,,,,[],Cue/CueDatas/CueData,False,True,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB1,DefaultLink,hard,14,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
2,qju,0,Cue Zero,COLORRGB2,DefaultLink,hard,14,,,,,[],Cue/CueDatas/CueData,True,False,exports\Tram_Analyz_main_sequences.xml
