sequence_count,cue_count,preset_count,group_count,effect_count,sequences,cues,presets,groups,effects,hard_value_atoms,dimmer_value_atoms,preset_ref_atoms,effect_ref_atoms,group_ref_atoms,patch_target_type,patch_target_id,fixture_id,channel_id,subfixture_id,patch_target_key
3,3,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1"", ""sequence:24:Studio54_all_sequences.xml:25"", ""sequence:4:Studio54_all_sequences.xml:5""]","[""cue:0:1:Studio54_all_sequences.xml:2"", ""cue:24:1:Studio54_all_sequences.xml:2"", ""cue:4:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1001,,1001,,channel:1001
3,3,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1"", ""sequence:24:Studio54_all_sequences.xml:25"", ""sequence:4:Studio54_all_sequences.xml:5""]","[""cue:0:1:Studio54_all_sequences.xml:2"", ""cue:24:1:Studio54_all_sequences.xml:2"", ""cue:4:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1002,,1002,,channel:1002
3,3,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1"", ""sequence:24:Studio54_all_sequences.xml:25"", ""sequence:4:Studio54_all_sequences.xml:5""]","[""cue:0:1:Studio54_all_sequences.xml:2"", ""cue:24:1:Studio54_all_sequences.xml:2"", ""cue:4:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1003,,1003,,channel:1003
3,3,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1"", ""sequence:24:Studio54_all_sequences.xml:25"", ""sequence:4:Studio54_all_sequences.xml:5""]","[""cue:0:1:Studio54_all_sequences.xml:2"", ""cue:24:1:Studio54_all_sequences.xml:2"", ""cue:4:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1004,,1004,,channel:1004
3,3,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1"", ""sequence:24:Studio54_all_sequences.xml:25"", ""sequence:4:Studio54_all_sequences.xml:5""]","[""cue:0:1:Studio54_all_sequences.xml:2"", ""cue:24:1:Studio54_all_sequences.xml:2"", ""cue:4:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1005,,1005,,channel:1005
3,3,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1"", ""sequence:24:Studio54_all_sequences.xml:25"", ""sequence:4:Studio54_all_sequences.xml:5""]","[""cue:0:1:Studio54_all_sequences.xml:2"", ""cue:24:1:Studio54_all_sequences.xml:2"", ""cue:4:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1006,,1006,,channel:1006
3,3,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1"", ""sequence:24:Studio54_all_sequences.xml:25"", ""sequence:4:Studio54_all_sequences.xml:5""]","[""cue:0:1:Studio54_all_sequences.xml:2"", ""cue:24:1:Studio54_all_sequences.xml:2"", ""cue:4:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1007,,1007,,channel:1007
3,3,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1"", ""sequence:24:Studio54_all_sequences.xml:25"", ""sequence:4:Studio54_all_sequences.xml:5""]","[""cue:0:1:Studio54_all_sequences.xml:2"", ""cue:24:1:Studio54_all_sequences.xml:2"", ""cue:4:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1008,,1008,,channel:1008
3,3,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1"", ""sequence:24:Studio54_all_sequences.xml:25"", ""sequence:4:Studio54_all_sequences.xml:5""]","[""cue:0:1:Studio54_all_sequences.xml:2"", ""cue:24:1:Studio54_all_sequences.xml:2"", ""cue:4:1:Studio54_all_sequences.xml:2""]",[],[],[],0,1,0,0,0,fixture,1009,,1009,,channel:1009
2,2,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1"", ""sequence:4:Studio54_all_sequences.xml:5""]","[""cue:0:1:Studio54_all_sequences.xml:2"", ""cue:4:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1010,,1010,,channel:1010
