preset_number,preset_type,preset_xml_index,preset_name,fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,value_type,reference_target,source_file
0.21,0,20,350 nad lidi,41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,DIM,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,PAN,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,TILT,87.67,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,POSITIONMSPEED,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,FIXTUREGLOBALRESET,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,COLORMIXER,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,COLORRGB1,30.77,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,COLORRGB2,50.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,COLORRGB3,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,COLORRGB5,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,COLORTEMPERATURE,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,COLORMODE2,17.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,ZOOM,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,SHUTTER,18.95,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,DIM,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,PAN,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,TILT,87.67,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,POSITIONMSPEED,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,FIXTUREGLOBALRESET,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,COLORMIXER,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,COLORRGB1,30.77,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,COLORRGB2,50.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,COLORRGB3,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,COLORRGB5,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,COLORTEMPERATURE,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,COLORMODE2,17.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,ZOOM,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,SHUTTER,18.95,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,43,RLB350M1 3,12 Robin LEDBeam 350 Mode 1,13.045,DIM,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,43,RLB350M1 3,12 Robin LEDBeam 350 Mode 1,13.045,PAN,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,43,RLB350M1 3,12 Robin LEDBeam 350 Mode 1,13.045,TILT,87.67,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,43,RLB350M1 3,12 Robin LEDBeam 350 Mode 1,13.045,POSITIONMSPEED,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,43,RLB350M1 3,12 Robin LEDBeam 350 Mode 1,13.045,FIXTUREGLOBALRESET,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,43,RLB350M1 3,12 Robin LEDBeam 350 Mode 1,13.045,COLORMIXER,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,43,RLB350M1 3,12 Robin LEDBeam 350 Mode 1,13.045,COLORRGB1,30.77,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,43,RLB350M1 3,12 Robin LEDBeam 350 Mode 1,13.045,COLORRGB2,50.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,43,RLB350M1 3,12 Robin LEDBeam 350 Mode 1,13.045,COLORRGB3,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,43,RLB350M1 3,12 Robin LEDBeam 350 Mode 1,13.045,COLORRGB5,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,43,RLB350M1 3,12 Robin LEDBeam 350 Mode 1,13.045,COLORTEMPERATURE,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,43,RLB350M1 3,12 Robin LEDBeam 350 Mode 1,13.045,COLORMODE2,17.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,43,RLB350M1 3,12 Robin LEDBeam 350 Mode 1,13.045,ZOOM,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,43,RLB350M1 3,12 Robin LEDBeam 350 Mode 1,13.045,SHUTTER,18.95,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,44,RLB350M1 4,12 Robin LEDBeam 350 Mode 1,13.067,DIM,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,44,RLB350M1 4,12 Robin LEDBeam 350 Mode 1,13.067,PAN,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,44,RLB350M1 4,12 Robin LEDBeam 350 Mode 1,13.067,TILT,87.67,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,44,RLB350M1 4,12 Robin LEDBeam 350 Mode 1,13.067,POSITIONMSPEED,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,44,RLB350M1 4,12 Robin LEDBeam 350 Mode 1,13.067,FIXTUREGLOBALRESET,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,44,RLB350M1 4,12 Robin LEDBeam 350 Mode 1,13.067,COLORMIXER,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,44,RLB350M1 4,12 Robin LEDBeam 350 Mode 1,13.067,COLORRGB1,30.77,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,44,RLB350M1 4,12 Robin LEDBeam 350 Mode 1,13.067,COLORRGB2,50.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,44,RLB350M1 4,12 Robin LEDBeam 350 Mode 1,13.067,COLORRGB3,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,44,RLB350M1 4,12 Robin LEDBeam 350 Mode 1,13.067,COLORRGB5,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,44,RLB350M1 4,12 Robin LEDBeam 350 Mode 1,13.067,COLORTEMPERATURE,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,44,RLB350M1 4,12 Robin LEDBeam 350 Mode 1,13.067,COLORMODE2,17.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,44,RLB350M1 4,12 Robin LEDBeam 350 Mode 1,13.067,ZOOM,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,44,RLB350M1 4,12 Robin LEDBeam 350 Mode 1,13.067,SHUTTER,18.95,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,45,RLB350M1 5,12 Robin LEDBeam 350 Mode 1,13.089,DIM,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,45,RLB350M1 5,12 Robin LEDBeam 350 Mode 1,13.089,PAN,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,45,RLB350M1 5,12 Robin LEDBeam 350 Mode 1,13.089,TILT,87.67,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,45,RLB350M1 5,12 Robin LEDBeam 350 Mode 1,13.089,POSITIONMSPEED,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,45,RLB350M1 5,12 Robin LEDBeam 350 Mode 1,13.089,FIXTUREGLOBALRESET,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,45,RLB350M1 5,12 Robin LEDBeam 350 Mode 1,13.089,COLORMIXER,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,45,RLB350M1 5,12 Robin LEDBeam 350 Mode 1,13.089,COLORRGB1,30.77,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,45,RLB350M1 5,12 Robin LEDBeam 350 Mode 1,13.089,COLORRGB2,50.70,hard,,exports\Studio54_preset_0.xml
