fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,cue_count,sequence_count,cue_list_preview,details
1,,,,COLORRGB31,0.00,23,3,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash ...,repeated hard value candidate for preset cleanup
1,,,,COLORRGB32,0.00,23,3,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash ...,repeated hard value candidate for preset cleanup
1,,,,COLORRGB33,0.00,23,3,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash ...,repeated hard value candidate for preset cleanup
1,,,,COLORRGB35,0.00,23,3,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash ...,repeated hard value candidate for preset cleanup
5,,,,COLORRGB31,0.00,23,3,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash ...,repeated hard value candidate for preset cleanup
5,,,,COLORRGB32,0.00,23,3,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash ...,repeated hard value candidate for preset cleanup
5,,,,COLORRGB33,0.00,23,3,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash ...,repeated hard value candidate for preset cleanup
5,,,,COLORRGB35,0.00,23,3,1.1 Cue 1 | 10.27 beegees 6:37.6 | 10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash ...,repeated hard value candidate for preset cleanup
41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,COLORRGB5,100.00,16,2,10.6 najezd strobo | 10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash | 10.52 Flash ...,repeated hard value candidate for preset cleanup
42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,COLORRGB5,100.00,16,2,10.6 najezd strobo | 10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash | 10.52 Flash ...,repeated hard value candidate for preset cleanup
47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,COLORRGB5,100.00,16,2,10.6 najezd strobo | 10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash | 10.52 Flash ...,repeated hard value candidate for preset cleanup
48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,COLORRGB5,100.00,16,2,10.6 najezd strobo | 10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash | 10.52 Flash ...,repeated hard value candidate for preset cleanup
1,,,,COLORRGB5,100.00,15,2,10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash | 10.52 Flash | 10.54 Flash ...,repeated hard value candidate for preset cleanup
5,,,,COLORRGB5,100.00,15,2,10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash | 10.52 Flash | 10.54 Flash ...,repeated hard value candidate for preset cleanup
