sequence_number,sequence_name,cue_number,cue_name,fixture_id,fixture_name,fixture_type,fixture_patch,dimmer,position,gobo,color,beam,focus,control,preset_refs,dimmer_value_count,hard_value_count,preset_value_count
2,qju,0,Cue Zero,1,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,2,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,3,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,4,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,5,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,6,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,7,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,8,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,9,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,10,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,11,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,12,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,13,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,14,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,15,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,16,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,17,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,18,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,19,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,20,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,21,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,22,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,23,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,24,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,25,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,26,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,27,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,28,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,29,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,30,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,31,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,32,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,33,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,34,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,35,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,36,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,37,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,38,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,39,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,40,,,,"[""D DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],1,3,0
2,qju,0,Cue Zero,101,,,,"[""D DIM=DefaultLink"", ""D SHUTTER=DefaultLink""]","[""H PAN=DefaultLink"", ""H TILT=DefaultLink"", ""H POSITIONMSPEED=DefaultLink""]",[],"[""H COLORMIXER=DefaultLink"", ""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink"", ""H COLORRGB5=DefaultLink"", ""H COLORMIXMODE=DefaultLink""]","[""H ZOOM=DefaultLink""]",[],"[""H LAMPCONTROL=DefaultLink"", ""H CTC=DefaultLink"", ""H PIXELEFFECTS=DefaultLink"", ""H PIXELEFFECTSSPEED=DefaultLink"", ""H PIXELEFFECTSFADE=DefaultLink"", ""H FLOWEREFFECT=DefaultLink"", ""H FLOWERCOLORMACROS=DefaultLink""]",[],2,17,0
2,qju,0,Cue Zero,102,,,,"[""D DIM=DefaultLink"", ""D SHUTTER=DefaultLink""]","[""H PAN=DefaultLink"", ""H TILT=DefaultLink"", ""H POSITIONMSPEED=DefaultLink""]",[],"[""H COLORMIXER=DefaultLink"", ""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink"", ""H COLORRGB5=DefaultLink"", ""H COLORMIXMODE=DefaultLink""]","[""H ZOOM=DefaultLink""]",[],"[""H LAMPCONTROL=DefaultLink"", ""H CTC=DefaultLink"", ""H PIXELEFFECTS=DefaultLink"", ""H PIXELEFFECTSSPEED=DefaultLink"", ""H PIXELEFFECTSFADE=DefaultLink"", ""H FLOWEREFFECT=DefaultLink"", ""H FLOWERCOLORMACROS=DefaultLink""]",[],2,17,0
2,qju,0,Cue Zero,103,RSpiide3 3,7 Robin Spiider Mode 3,4.067,"[""D DIM=DefaultLink"", ""D SHUTTER=DefaultLink""]","[""H PAN=DefaultLink"", ""H TILT=DefaultLink"", ""H POSITIONMSPEED=DefaultLink""]",[],"[""H COLORMIXER=DefaultLink"", ""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink"", ""H COLORRGB5=DefaultLink"", ""H COLORMIXMODE=DefaultLink""]","[""H ZOOM=DefaultLink""]",[],"[""H LAMPCONTROL=DefaultLink"", ""H CTC=DefaultLink"", ""H PIXELEFFECTS=DefaultLink"", ""H PIXELEFFECTSSPEED=DefaultLink"", ""H PIXELEFFECTSFADE=DefaultLink""]",[],2,15,0
2,qju,0,Cue Zero,104,RSpiide3 4,7 Robin Spiider Mode 3,4.100,"[""D DIM=DefaultLink"", ""D SHUTTER=DefaultLink""]","[""H PAN=DefaultLink"", ""H TILT=DefaultLink"", ""H POSITIONMSPEED=DefaultLink""]",[],"[""H COLORMIXER=DefaultLink"", ""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink"", ""H COLORRGB5=DefaultLink"", ""H COLORMIXMODE=DefaultLink""]","[""H ZOOM=DefaultLink""]",[],"[""H LAMPCONTROL=DefaultLink"", ""H CTC=DefaultLink"", ""H PIXELEFFECTS=DefaultLink"", ""H PIXELEFFECTSSPEED=DefaultLink"", ""H PIXELEFFECTSFADE=DefaultLink""]",[],2,15,0
2,qju,0,Cue Zero,105,RSpiide3 5,7 Robin Spiider Mode 3,4.133,"[""D DIM=DefaultLink"", ""D SHUTTER=DefaultLink""]","[""H PAN=DefaultLink"", ""H TILT=DefaultLink"", ""H POSITIONMSPEED=DefaultLink""]",[],"[""H COLORMIXER=DefaultLink"", ""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink"", ""H COLORRGB5=DefaultLink"", ""H COLORMIXMODE=DefaultLink""]","[""H ZOOM=DefaultLink""]",[],"[""H LAMPCONTROL=DefaultLink"", ""H CTC=DefaultLink"", ""H PIXELEFFECTS=DefaultLink"", ""H PIXELEFFECTSSPEED=DefaultLink"", ""H PIXELEFFECTSFADE=DefaultLink""]",[],2,15,0
2,qju,0,Cue Zero,106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,"[""D DIM=DefaultLink"", ""D SHUTTER=DefaultLink""]","[""H PAN=DefaultLink"", ""H TILT=DefaultLink"", ""H POSITIONMSPEED=DefaultLink""]",[],"[""H COLORMIXER=DefaultLink"", ""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink"", ""H COLORRGB5=DefaultLink"", ""H COLORMIXMODE=DefaultLink""]","[""H ZOOM=DefaultLink""]",[],"[""H LAMPCONTROL=DefaultLink"", ""H CTC=DefaultLink"", ""H PIXELEFFECTS=DefaultLink"", ""H PIXELEFFECTSSPEED=DefaultLink"", ""H PIXELEFFECTSFADE=DefaultLink""]",[],2,15,0
2,qju,0,Cue Zero,107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,"[""D DIM=DefaultLink"", ""D SHUTTER=DefaultLink""]","[""H PAN=DefaultLink"", ""H TILT=DefaultLink"", ""H POSITIONMSPEED=DefaultLink""]",[],"[""H COLORMIXER=DefaultLink"", ""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink"", ""H COLORRGB5=DefaultLink"", ""H COLORMIXMODE=DefaultLink""]","[""H ZOOM=DefaultLink""]",[],"[""H LAMPCONTROL=DefaultLink"", ""H CTC=DefaultLink"", ""H PIXELEFFECTS=DefaultLink"", ""H PIXELEFFECTSSPEED=DefaultLink"", ""H PIXELEFFECTSFADE=DefaultLink""]",[],2,15,0
