kind,severity,subject,details,owner_type,owner_id,target,attribute,raw_reference,fixture_id,patch,fixture_ids,preset_id,preset_number
missing_target_object,high,cue:cue:10:31:Studio54_main_sequences.xml:34,missing target effect:29,cue,cue:10:31:Studio54_main_sequences.xml:34,effect:29,,effect:29,,,,,
fixture_used_without_patch_data,high,fixture:1,Channel 1,,,,,,1,,,,
fixture_used_without_type,medium,fixture:1,Channel 1,,,,,,1,,,,
fixture_used_without_patch_data,high,fixture:2,Channel 2,,,,,,2,,,,
fixture_used_without_type,medium,fixture:2,Channel 2,,,,,,2,,,,
fixture_used_without_patch_data,high,fixture:3,Channel 3,,,,,,3,,,,
fixture_used_without_type,medium,fixture:3,Channel 3,,,,,,3,,,,
fixture_used_without_patch_data,high,fixture:4,Channel 4,,,,,,4,,,,
fixture_used_without_type,medium,fixture:4,Channel 4,,,,,,4,,,,
fixture_used_without_patch_data,high,fixture:5,Channel 5,,,,,,5,,,,
fixture_used_without_type,medium,fixture:5,Channel 5,,,,,,5,,,,
fixture_used_without_patch_data,high,fixture:6,Channel 6,,,,,,6,,,,
fixture_used_without_type,medium,fixture:6,Channel 6,,,,,,6,,,,
fixture_used_without_patch_data,high,fixture:7,Channel 7,,,,,,7,,,,
fixture_used_without_type,medium,fixture:7,Channel 7,,,,,,7,,,,
fixture_used_without_patch_data,high,fixture:8,Channel 8,,,,,,8,,,,
fixture_used_without_type,medium,fixture:8,Channel 8,,,,,,8,,,,
fixture_used_without_patch_data,high,fixture:9,Channel 9,,,,,,9,,,,
fixture_used_without_type,medium,fixture:9,Channel 9,,,,,,9,,,,
fixture_used_without_patch_data,high,fixture:10,Channel 10,,,,,,10,,,,
fixture_used_without_type,medium,fixture:10,Channel 10,,,,,,10,,,,
fixture_used_without_patch_data,high,fixture:11,Channel 11,,,,,,11,,,,
fixture_used_without_type,medium,fixture:11,Channel 11,,,,,,11,,,,
fixture_used_without_patch_data,high,fixture:12,Channel 12,,,,,,12,,,,
fixture_used_without_type,medium,fixture:12,Channel 12,,,,,,12,,,,
fixture_used_without_patch_data,high,fixture:13,Channel 13,,,,,,13,,,,
fixture_used_without_type,medium,fixture:13,Channel 13,,,,,,13,,,,
fixture_used_without_patch_data,high,fixture:14,Channel 14,,,,,,14,,,,
fixture_used_without_type,medium,fixture:14,Channel 14,,,,,,14,,,,
fixture_used_without_patch_data,high,fixture:15,Channel 15,,,,,,15,,,,
fixture_used_without_type,medium,fixture:15,Channel 15,,,,,,15,,,,
fixture_used_without_patch_data,high,fixture:16,Channel 16,,,,,,16,,,,
fixture_used_without_type,medium,fixture:16,Channel 16,,,,,,16,,,,
fixture_used_without_patch_data,high,fixture:17,Channel 17,,,,,,17,,,,
fixture_used_without_type,medium,fixture:17,Channel 17,,,,,,17,,,,
