cue_id,sequence_id,sequence_number,sequence_name,cue_number,cue_name,cue_position,is_main_cue_list,fixture_count,attribute_count,feature_group_count,hard_value_count,dimmer_value_count,preset_ref_count,group_ref_count,effect_ref_count,zero_like_count,mixed_fixture_count,mixed_family_count,control_mode,fade,delay,trigger,trigger_time,down_delay,prev_similarity,next_similarity,local_similarity,local_avg_hard,local_avg_dimmer,local_avg_preset,local_avg_zero,local_avg_feature_groups,quality_risk_score,severity,reason_count,reasons,reasons_text,source_file
cue:11:1:Studio_54_main_sequences.xml:1,sequence:11:Studio_54_main_sequences.xml:1,11,QJU,1,lidi,1,True,55,54,6,622,159,6,0,0,490,8,24,mixed,,,,,,0.0,0.009,0.005,156.0,42.75,1.5,124.0,2.25,91,high,7,"[""very hard-heavy cue (622 hard values)"", ""mixed programming in 24 fixture/family pairs"", ""low similarity to neighbouring cues (0.01)"", ""hard values spike vs local block (622 vs avg 156.0)"", ""many zero/reset-like values (490)"", ""touches unusually many feature groups (6)"", ""more mixed fixtures than neighbouring cues""]",very hard-heavy cue (622 hard values); mixed programming in 24 fixture/family pairs; low similarity to neighbouring cues (0.01); hard values spike vs local block (622 vs avg 156.0); many zero/reset-like values (490); touches unusually many feature groups (6); more mixed fixtures than neighbouring cues,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_main_sequences.xml
cue:11:89:Studio_54_main_sequences.xml:95,sequence:11:Studio_54_main_sequences.xml:1,11,QJU,89,koks KOUR GARAZ,95,True,40,54,6,77,109,3,0,0,52,9,9,mixed,,,,,,0.033,0.002,0.018,11.43,33.71,0.86,22.71,2.29,91,high,7,"[""very hard-heavy cue (77 hard values)"", ""mixed programming in 9 fixture/family pairs"", ""low similarity to neighbouring cues (0.02)"", ""hard values spike vs local block (77 vs avg 11.4)"", ""many zero/reset-like values (52)"", ""touches unusually many feature groups (6)"", ""more mixed fixtures than neighbouring cues""]",very hard-heavy cue (77 hard values); mixed programming in 9 fixture/family pairs; low similarity to neighbouring cues (0.02); hard values spike vs local block (77 vs avg 11.4); many zero/reset-like values (52); touches unusually many feature groups (6); more mixed fixtures than neighbouring cues,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_main_sequences.xml
cue:11:98:Studio_54_main_sequences.xml:104,sequence:11:Studio_54_main_sequences.xml:1,11,QJU,98,Flo BLESK kdyz se vyfoti tereze,104,True,23,25,5,65,33,1,0,0,53,8,8,mixed,,,,,,0.061,0.075,0.068,18.0,16.86,0.57,10.57,3.71,83,high,6,"[""very hard-heavy cue (65 hard values)"", ""mixed programming in 8 fixture/family pairs"", ""low similarity to neighbouring cues (0.07)"", ""hard values spike vs local block (65 vs avg 18.0)"", ""many zero/reset-like values (53)"", ""more mixed fixtures than neighbouring cues""]",very hard-heavy cue (65 hard values); mixed programming in 8 fixture/family pairs; low similarity to neighbouring cues (0.07); hard values spike vs local block (65 vs avg 18.0); many zero/reset-like values (53); more mixed fixtures than neighbouring cues,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_main_sequences.xml
cue:11:36:Studio_54_main_sequences.xml:39,sequence:11:Studio_54_main_sequences.xml:1,11,QJU,36,9:46.888,39,True,62,62,7,75,250,9,0,0,254,2,6,mixed,,,,,,0.005,0.994,0.499,13.57,78.29,3.14,68.57,3.86,75,high,6,"[""very hard-heavy cue (75 hard values)"", ""mixed programming in 6 fixture/family pairs"", ""hard values spike vs local block (75 vs avg 13.6)"", ""many zero/reset-like values (254)"", ""touches unusually many feature groups (7)"", ""many preset refs combined with hard edits""]",very hard-heavy cue (75 hard values); mixed programming in 6 fixture/family pairs; hard values spike vs local block (75 vs avg 13.6); many zero/reset-like values (254); touches unusually many feature groups (7); many preset refs combined with hard edits,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_main_sequences.xml
cue:11:27:Studio_54_main_sequences.xml:30,sequence:11:Studio_54_main_sequences.xml:1,11,QJU,27,beegees 6:37.6,30,True,38,54,6,64,32,3,0,0,52,8,8,mixed,,,,,,0.0,0.028,0.014,9.43,25.57,1.14,27.86,3.71,73,high,5,"[""very hard-heavy cue (64 hard values)"", ""mixed programming in 8 fixture/family pairs"", ""low similarity to neighbouring cues (0.01)"", ""hard values spike vs local block (64 vs avg 9.4)"", ""more mixed fixtures than neighbouring cues""]",very hard-heavy cue (64 hard values); mixed programming in 8 fixture/family pairs; low similarity to neighbouring cues (0.01); hard values spike vs local block (64 vs avg 9.4); more mixed fixtures than neighbouring cues,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_main_sequences.xml
cue:11:6:Studio_54_main_sequences.xml:7,sequence:11:Studio_54_main_sequences.xml:1,11,QJU,6,platforma dole,7,True,44,14,5,49,15,2,0,0,1,12,12,mixed,,,,,,0.064,0.0,0.032,10.43,35.29,0.86,29.43,3.86,73,high,5,"[""very hard-heavy cue (49 hard values)"", ""mixed programming in 12 fixture/family pairs"", ""low similarity to neighbouring cues (0.03)"", ""hard values spike vs local block (49 vs avg 10.4)"", ""more mixed fixtures than neighbouring cues""]",very hard-heavy cue (49 hard values); mixed programming in 12 fixture/family pairs; low similarity to neighbouring cues (0.03); hard values spike vs local block (49 vs avg 10.4); more mixed fixtures than neighbouring cues,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_main_sequences.xml
cue:11:84:Studio_54_main_sequences.xml:90,sequence:11:Studio_54_main_sequences.xml:1,11,QJU,84,Gobo sex,90,True,30,41,6,31,37,2,0,0,20,6,6,mixed,,,,,,0.039,0.094,0.066,24.43,20.14,0.57,19.43,3.14,69,high,5,"[""very hard-heavy cue (31 hard values)"", ""mixed programming in 6 fixture/family pairs"", ""low similarity to neighbouring cues (0.07)"", ""touches unusually many feature groups (6)"", ""more mixed fixtures than neighbouring cues""]",very hard-heavy cue (31 hard values); mixed programming in 6 fixture/family pairs; low similarity to neighbouring cues (0.07); touches unusually many feature groups (6); more mixed fixtures than neighbouring cues,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_main_sequences.xml
cue:11:103:Studio_54_main_sequences.xml:109,sequence:11:Studio_54_main_sequences.xml:1,11,QJU,103,blesk,109,True,47,17,5,48,100,1,0,0,40,12,12,mixed,,,,,,0.0,0.979,0.49,8.14,40.0,0.86,19.86,3.43,68,high,5,"[""very hard-heavy cue (48 hard values)"", ""mixed programming in 12 fixture/family pairs"", ""hard values spike vs local block (48 vs avg 8.1)"", ""many zero/reset-like values (40)"", ""more mixed fixtures than neighbouring cues""]",very hard-heavy cue (48 hard values); mixed programming in 12 fixture/family pairs; hard values spike vs local block (48 vs avg 8.1); many zero/reset-like values (40); more mixed fixtures than neighbouring cues,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_main_sequences.xml
cue:11:81:Studio_54_main_sequences.xml:87,sequence:11:Studio_54_main_sequences.xml:1,11,QJU,81,disko gula dolu,87,True,25,45,6,64,13,1,0,0,40,0,0,mixed,,,,,,0.0,0.041,0.021,14.0,13.43,0.71,11.29,3.29,65,high,5,"[""very hard-heavy cue (64 hard values)"", ""low similarity to neighbouring cues (0.02)"", ""hard values spike vs local block (64 vs avg 14.0)"", ""many zero/reset-like values (40)"", ""touches unusually many feature groups (6)""]",very hard-heavy cue (64 hard values); low similarity to neighbouring cues (0.02); hard values spike vs local block (64 vs avg 14.0); many zero/reset-like values (40); touches unusually many feature groups (6),C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_main_sequences.xml
cue:11:9:Studio_54_main_sequences.xml:10,sequence:11:Studio_54_main_sequences.xml:1,11,QJU,9,otevreni vrata,10,True,44,40,6,19,63,1,0,0,43,1,5,mixed,,,,,,0.328,0.015,0.172,10.43,12.0,0.86,6.43,3.57,65,high,4,"[""very hard-heavy cue (19 hard values)"", ""mixed programming in 5 fixture/family pairs"", ""low similarity to neighbouring cues (0.17)"", ""many zero/reset-like values (43)""]",very hard-heavy cue (19 hard values); mixed programming in 5 fixture/family pairs; low similarity to neighbouring cues (0.17); many zero/reset-like values (43),C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_main_sequences.xml
