preset_number,preset_type,preset_name,cue_count,sequence_count,main_cue_count,fixture_count,fixture_types,value_count,usage_status,is_unused,is_single_cue,duplicate_candidates,duplicate_candidate_count,source_file
0.34,0,350 plocha,23,1,23,12,"[""12 Robin LEDBeam 350 Mode 1""]",168,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.45,0,plocha spiider,20,1,20,8,"[""3 Robin Spiider Mode 3""]",200,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.86,0,blesk pre show,7,5,2,4,"[""11 Robin Esprite Mode 2""]",160,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.49,0,BAR,7,1,7,13,"[""14 Hotbox RGBW 8 channel"", ""16 Helios Tube 1: RGB - 1 Pixel - Strobe Off"", ""7 Robin SVB1 Mode 3 - Pixel""]",51,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.31,0,vostra gula,6,1,6,4,"[""11 Robin Esprite Mode 2""]",160,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.58,0,Projzi scan,6,1,6,12,"[""12 Robin LEDBeam 350 Mode 1""]",168,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.90,0,signal,6,1,6,1,"[""14 Hotbox RGBW 8 channel""]",5,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.41,0,tetra scan,5,2,4,25,"[""11 Robin Esprite Mode 2"", ""3 Robin Spiider Mode 3""]",780,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.26,0,strobo hor,5,1,5,31,"[""11 Robin Esprite Mode 2"", ""3 Robin Spiider Mode 3"", ""7 Robin SVB1 Mode 3 - Pixel""]",192,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.56,0,vytah,4,1,4,24,"[""11 Robin Esprite Mode 2"", ""3 Robin Spiider Mode 3""]",260,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.57,0,Miki lavka prejezd,4,1,4,1,"[""11 Robin Esprite Mode 2""]",40,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.30,0,gula,3,1,3,12,"[""12 Robin LEDBeam 350 Mode 1""]",168,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.50,0,stred,3,1,3,2,"[""11 Robin Esprite Mode 2""]",22,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.52,0,Zacatek lidi,3,1,3,38,"[""11 Robin Esprite Mode 2"", ""12 Robin LEDBeam 350 Mode 1"", ""3 Robin Spiider Mode 3""]",915,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.85,0,do lidi do ksicht,3,1,3,12,"[""12 Robin LEDBeam 350 Mode 1""]",216,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.95,0,Velky blesky,3,1,3,6,"[""11 Robin Esprite Mode 2""]",240,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.39,0,gobo,2,1,2,8,"[""11 Robin Esprite Mode 2""]",145,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.42,0,dvere k vytahu,2,1,2,1,"[""11 Robin Esprite Mode 2""]",40,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.51,0,buzek,2,1,2,1,"[""11 Robin Esprite Mode 2""]",40,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.54,0,Spii start na blesky,2,1,2,6,"[""3 Robin Spiider Mode 3""]",150,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.55,0,Zebrik,2,1,2,1,"[""11 Robin Esprite Mode 2""]",22,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.76,0,vrata,2,1,2,1,"[""11 Robin Esprite Mode 2""]",40,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.92,0,mikistrip zaver,2,1,2,1,"[""11 Robin Esprite Mode 2""]",43,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.93,0,zebrik zaver,2,1,2,1,"[""11 Robin Esprite Mode 2""]",44,active,False,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.36,0,ondra klavir,1,1,1,1,"[""11 Robin Esprite Mode 2""]",40,single_cue,False,True,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.47,0,Kluci stred koule,1,1,1,2,"[""11 Robin Esprite Mode 2""]",80,single_cue,False,True,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.60,0,spii stred,1,1,1,8,"[""3 Robin Spiider Mode 3""]",200,single_cue,False,True,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.62,0,tetra do zad,1,1,1,25,"[""11 Robin Esprite Mode 2"", ""3 Robin Spiider Mode 3""]",780,single_cue,False,True,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.63,0,spot kejs,1,1,1,1,"[""11 Robin Esprite Mode 2""]",9,single_cue,False,True,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.70,0,stripterka v satne na miste,1,1,1,1,"[""11 Robin Esprite Mode 2""]",40,single_cue,False,True,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.72,0,satna350,1,1,1,12,"[""12 Robin LEDBeam 350 Mode 1""]",216,single_cue,False,True,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.74,0,kruh stred,1,1,1,1,"[""11 Robin Esprite Mode 2""]",40,single_cue,False,True,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.75,0,goba sex,1,1,1,6,"[""11 Robin Esprite Mode 2""]",252,single_cue,False,True,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.77,0,strobo,1,1,1,3,[],6,single_cue,False,True,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.78,0,bejk,1,1,1,1,"[""11 Robin Esprite Mode 2""]",40,single_cue,False,True,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.83,0,Natalka spot,1,1,1,1,"[""11 Robin Esprite Mode 2""]",40,single_cue,False,True,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.88,0,bejk spiider nahore,1,1,1,2,"[""3 Robin Spiider Mode 3""]",50,single_cue,False,True,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.94,0,Spot konfety,1,1,1,1,"[""11 Robin Esprite Mode 2""]",2,single_cue,False,True,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.96,0,Spot na kokain,1,1,1,1,"[""11 Robin Esprite Mode 2""]",2,single_cue,False,True,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.97,0,alex grrr krouzek,1,1,1,1,"[""11 Robin Esprite Mode 2""]",40,single_cue,False,True,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.21,0,350 nad lidi,0,0,0,12,"[""12 Robin LEDBeam 350 Mode 1""]",168,unused,True,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.22,0,350 doprava,0,0,0,12,"[""12 Robin LEDBeam 350 Mode 1""]",168,unused,True,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.23,0,350 doleva,0,0,0,12,"[""12 Robin LEDBeam 350 Mode 1""]",96,unused,True,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.25,0,beam,0,0,0,8,"[""11 Robin Esprite Mode 2""]",344,unused,True,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
0.27,0,strobo,0,0,0,33,"[""11 Robin Esprite Mode 2"", ""3 Robin Spiider Mode 3"", ""7 Robin SVB1 Mode 3 - Pixel""]",542,unused,True,False,[],0,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-100706-76b8aa01\uploads\Studio_54_preset_0.xml
