id,number,name,cue_count,source_file,is_main_cue_list
sequence:1:Studio_54_all_sequences.xml:1,1,Sequence 1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:2:Studio_54_all_sequences.xml:2,2,Sequence 2,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:3:Studio_54_all_sequences.xml:3,3,Sequence 3,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:4:Studio_54_all_sequences.xml:4,4,Sequence 4,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:5:Studio_54_all_sequences.xml:5,5,Sequence 5,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:6:Studio_54_all_sequences.xml:6,6,Sequence 6,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:7:Studio_54_all_sequences.xml:7,7,Sequence 7,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:8:Studio_54_all_sequences.xml:8,8,Sequence 8,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:9:Studio_54_all_sequences.xml:9,9,Sequence 9,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:10:Studio_54_all_sequences.xml:10,10,Sequence 10,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,122,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_main_sequences.xml,True
sequence:12:Studio_54_all_sequences.xml:12,12,Sequence 12,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:13:Studio_54_all_sequences.xml:13,13,Sequence 13,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:14:Studio_54_all_sequences.xml:14,14,2,2,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:15:Studio_54_all_sequences.xml:15,15,Sequence 15,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:16:Studio_54_all_sequences.xml:16,16,Sequence 16,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:17:Studio_54_all_sequences.xml:17,17,Sequence 17,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:18:Studio_54_all_sequences.xml:18,18,Sequence 18,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:19:Studio_54_all_sequences.xml:19,19,Sequence 19,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
