sequence_number,cue_number,cue_name,fixture_id,fixture_name,fixture_type,fixture_patch,control_mode,hard_attribute_count,hard_attributes,dimmer_attribute_count,dimmer_attributes,preset_ref_count,preset_refs,preset_types
11,114,8:15.150,14,Esprite 4,11 Robin Esprite Mode 2,3.043,mixed,37,"[""ANIMATIONINDEXROTATE"", ""ANIMATIONWHEEL"", ""BLADE1A"", ""BLADE1B"", ""BLADE2A"", ""BLADE2B"", ""BLADE3A"", ""BLADE3B"", ""BLADE4A"", ""BLADE4B"", ""COLOR1"", ""COLOR2"", ""COLORMIXER"", ""COLORMIXMSPEED"", ""COLORMIXMSPEED2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""CTO"", ""EFFECTINDEXROTATE"", ""EFFECTMACROS"", ""EFFECTWHEEL"", ""FIXTUREGLOBALRESET"", ""FOCUS"", ""GOBO1"", ""GOBO2"", ""GOBO2_POS"", ""INTENSITYMACROS"", ""IRIS"", ""PAN"", ""POSITIONMSPEED"", ""PWMFREQUENCY"", ""PWMFREQUENCYADJUST"", ""SHAPER ROT"", ""TILT"", ""ZOOM"", ""ZOOMMSPEED""]",2,"[""DIM"", ""SHUTTER""]",1,"[""0.50""]","[""0""]"
11,114,8:15.150,15,Esprite 5,11 Robin Esprite Mode 2,3.085,mixed,37,"[""ANIMATIONINDEXROTATE"", ""ANIMATIONWHEEL"", ""BLADE1A"", ""BLADE1B"", ""BLADE2A"", ""BLADE2B"", ""BLADE3A"", ""BLADE3B"", ""BLADE4A"", ""BLADE4B"", ""COLOR1"", ""COLOR2"", ""COLORMIXER"", ""COLORMIXMSPEED"", ""COLORMIXMSPEED2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""CTO"", ""EFFECTINDEXROTATE"", ""EFFECTMACROS"", ""EFFECTWHEEL"", ""FIXTUREGLOBALRESET"", ""FOCUS"", ""GOBO1"", ""GOBO2"", ""GOBO2_POS"", ""INTENSITYMACROS"", ""IRIS"", ""PAN"", ""POSITIONMSPEED"", ""PWMFREQUENCY"", ""PWMFREQUENCYADJUST"", ""SHAPER ROT"", ""TILT"", ""ZOOM"", ""ZOOMMSPEED""]",2,"[""DIM"", ""SHUTTER""]",1,"[""0.50""]","[""0""]"
11,1,lidi,14,Esprite 4,11 Robin Esprite Mode 2,3.043,mixed,28,"[""ANIMATIONINDEXROTATE"", ""ANIMATIONWHEEL"", ""BLADE1A"", ""BLADE1B"", ""BLADE2A"", ""BLADE2B"", ""BLADE3A"", ""BLADE3B"", ""BLADE4A"", ""BLADE4B"", ""COLORMIXER"", ""COLORMIXMSPEED"", ""COLORMIXMSPEED2"", ""CTO"", ""EFFECTINDEXROTATE"", ""EFFECTMACROS"", ""EFFECTWHEEL"", ""FIXTUREGLOBALRESET"", ""GOBO1"", ""GOBO2"", ""GOBO2_POS"", ""INTENSITYMACROS"", ""IRIS"", ""POSITIONMSPEED"", ""PWMFREQUENCY"", ""PWMFREQUENCYADJUST"", ""SHAPER ROT"", ""ZOOMMSPEED""]",1,"[""SHUTTER""]",1,"[""0.50""]","[""0""]"
11,1,lidi,15,Esprite 5,11 Robin Esprite Mode 2,3.085,mixed,28,"[""ANIMATIONINDEXROTATE"", ""ANIMATIONWHEEL"", ""BLADE1A"", ""BLADE1B"", ""BLADE2A"", ""BLADE2B"", ""BLADE3A"", ""BLADE3B"", ""BLADE4A"", ""BLADE4B"", ""COLORMIXER"", ""COLORMIXMSPEED"", ""COLORMIXMSPEED2"", ""CTO"", ""EFFECTINDEXROTATE"", ""EFFECTMACROS"", ""EFFECTWHEEL"", ""FIXTUREGLOBALRESET"", ""GOBO1"", ""GOBO2"", ""GOBO2_POS"", ""INTENSITYMACROS"", ""IRIS"", ""POSITIONMSPEED"", ""PWMFREQUENCY"", ""PWMFREQUENCYADJUST"", ""SHAPER ROT"", ""ZOOMMSPEED""]",1,"[""SHUTTER""]",1,"[""0.50""]","[""0""]"
11,36,9:46.888,14,Esprite 4,11 Robin Esprite Mode 2,3.043,mixed,28,"[""ANIMATIONINDEXROTATE"", ""ANIMATIONWHEEL"", ""BLADE1A"", ""BLADE1B"", ""BLADE2A"", ""BLADE2B"", ""BLADE3A"", ""BLADE3B"", ""BLADE4A"", ""BLADE4B"", ""COLORMIXER"", ""COLORMIXMSPEED"", ""COLORMIXMSPEED2"", ""CTO"", ""EFFECTINDEXROTATE"", ""EFFECTMACROS"", ""EFFECTWHEEL"", ""FIXTUREGLOBALRESET"", ""GOBO1"", ""GOBO2"", ""GOBO2_POS"", ""INTENSITYMACROS"", ""IRIS"", ""POSITIONMSPEED"", ""PWMFREQUENCY"", ""PWMFREQUENCYADJUST"", ""SHAPER ROT"", ""ZOOMMSPEED""]",2,"[""DIM"", ""SHUTTER""]",1,"[""0.50""]","[""0""]"
11,36,9:46.888,15,Esprite 5,11 Robin Esprite Mode 2,3.085,mixed,28,"[""ANIMATIONINDEXROTATE"", ""ANIMATIONWHEEL"", ""BLADE1A"", ""BLADE1B"", ""BLADE2A"", ""BLADE2B"", ""BLADE3A"", ""BLADE3B"", ""BLADE4A"", ""BLADE4B"", ""COLORMIXER"", ""COLORMIXMSPEED"", ""COLORMIXMSPEED2"", ""CTO"", ""EFFECTINDEXROTATE"", ""EFFECTMACROS"", ""EFFECTWHEEL"", ""FIXTUREGLOBALRESET"", ""GOBO1"", ""GOBO2"", ""GOBO2_POS"", ""INTENSITYMACROS"", ""IRIS"", ""POSITIONMSPEED"", ""PWMFREQUENCY"", ""PWMFREQUENCYADJUST"", ""SHAPER ROT"", ""ZOOMMSPEED""]",2,"[""DIM"", ""SHUTTER""]",1,"[""0.50""]","[""0""]"
11,9,otevreni vrata,11,Esprite 1,11 Robin Esprite Mode 2,2.133,mixed,18,"[""ANIMATIONINDEXROTATE"", ""ANIMATIONWHEEL"", ""COLORMIXER"", ""COLORMIXMSPEED"", ""COLORMIXMSPEED2"", ""CTO"", ""EFFECTINDEXROTATE"", ""EFFECTMACROS"", ""EFFECTWHEEL"", ""FIXTUREGLOBALRESET"", ""FROST"", ""GOBO2_POS"", ""INTENSITYMACROS"", ""POSITIONMSPEED"", ""PWMFREQUENCY"", ""PWMFREQUENCYADJUST"", ""ZOOM"", ""ZOOMMSPEED""]",1,"[""DIM""]",1,"[""0.55""]","[""0""]"
11,114,8:15.150,16,Esprite 6,11 Robin Esprite Mode 2,3.127,mixed,12,"[""COLOR1"", ""COLOR2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""FOCUS"", ""GOBO2"", ""GOBO2_POS"", ""IRIS"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.57""]","[""0""]"
11,112,DIKY,1,Spiider 1,3 Robin Spiider Mode 3,2.001,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",0,[],2,"[""0.45"", ""0.52""]","[""0""]"
11,112,DIKY,5,Spiider 5,3 Robin Spiider Mode 3,4.001,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",0,[],2,"[""0.45"", ""0.52""]","[""0""]"
11,112,DIKY,7,Spiider 7,3 Robin Spiider Mode 3,4.067,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",0,[],2,"[""0.45"", ""0.52""]","[""0""]"
11,112,DIKY,2,Spiider 2,3 Robin Spiider Mode 3,2.034,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",0,[],1,"[""0.45""]","[""0""]"
11,112,DIKY,3,Spiider 3,3 Robin Spiider Mode 3,2.067,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",0,[],1,"[""0.45""]","[""0""]"
11,112,DIKY,4,Spiider 4,3 Robin Spiider Mode 3,2.100,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",0,[],1,"[""0.45""]","[""0""]"
