fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,cue_count,sequence_count,cue_list_preview,details
1,Spiider 1,3 Robin Spiider Mode 3,2.001,COLORRGB31,0.00,25,3,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash ...,repeated hard value candidate for preset cleanup
1,Spiider 1,3 Robin Spiider Mode 3,2.001,COLORRGB32,0.00,25,3,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash ...,repeated hard value candidate for preset cleanup
1,Spiider 1,3 Robin Spiider Mode 3,2.001,COLORRGB33,0.00,25,3,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash ...,repeated hard value candidate for preset cleanup
1,Spiider 1,3 Robin Spiider Mode 3,2.001,COLORRGB35,0.00,25,3,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash ...,repeated hard value candidate for preset cleanup
5,Spiider 5,3 Robin Spiider Mode 3,4.001,COLORRGB31,0.00,25,3,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash ...,repeated hard value candidate for preset cleanup
5,Spiider 5,3 Robin Spiider Mode 3,4.001,COLORRGB32,0.00,25,3,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash ...,repeated hard value candidate for preset cleanup
5,Spiider 5,3 Robin Spiider Mode 3,4.001,COLORRGB33,0.00,25,3,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash ...,repeated hard value candidate for preset cleanup
5,Spiider 5,3 Robin Spiider Mode 3,4.001,COLORRGB35,0.00,25,3,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash ...,repeated hard value candidate for preset cleanup
41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,COLORRGB5,100.00,16,2,11.6 platforma dole | 11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash ...,repeated hard value candidate for preset cleanup
42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,COLORRGB5,100.00,16,2,11.6 platforma dole | 11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash ...,repeated hard value candidate for preset cleanup
47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,COLORRGB5,100.00,16,2,11.6 platforma dole | 11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash ...,repeated hard value candidate for preset cleanup
48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,COLORRGB5,100.00,16,2,11.6 platforma dole | 11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash ...,repeated hard value candidate for preset cleanup
1,Spiider 1,3 Robin Spiider Mode 3,2.001,COLORRGB5,100.00,15,2,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
5,Spiider 5,3 Robin Spiider Mode 3,4.001,COLORRGB5,100.00,15,2,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
4,Spiider 4,3 Robin Spiider Mode 3,2.100,COLORRGB31,0.00,13,3,2.1 Cue 1 | 9.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu ...,repeated hard value candidate for preset cleanup
4,Spiider 4,3 Robin Spiider Mode 3,2.100,COLORRGB32,0.00,13,3,2.1 Cue 1 | 9.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu ...,repeated hard value candidate for preset cleanup
4,Spiider 4,3 Robin Spiider Mode 3,2.100,COLORRGB33,0.00,13,3,2.1 Cue 1 | 9.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu ...,repeated hard value candidate for preset cleanup
