sequence_number,sequence_name,cue_number,cue_name,fixture_id,fixture_name,fixture_type,fixture_patch,dimmer,position,gobo,color,beam,focus,control,preset_refs,dimmer_value_count,hard_value_count,preset_value_count
11,QJU,1,lidi,1,Spiider 1,3 Robin Spiider Mode 3,2.001,"[""P0.52 DIM=0.00"", ""P0.52 DIM2=50.50""]","[""P0.52 PAN=-80.19"", ""P0.52 TILT=41.29""]",[],"[""P0.52 COLORRGB1=8.78"", ""P0.52 COLORRGB2=55.08"", ""P0.52 COLORRGB3=100.00"", ""P0.52 COLORRGB5=29.63"", ""P0.52 COLORRGB31=0.00"", ""P0.52 COLORRGB32=0.00"", ""P0.52 COLORRGB33=0.00"", ""P0.52 COLORRGB35=0.00""]","[""P0.52 ZOOM=100.00""]",[],[],"[""0.52""]",0,0,13
11,QJU,1,lidi,2,Spiider 2,3 Robin Spiider Mode 3,2.034,"[""D DIM=0.00"", ""D DIM2=0.00"", ""P0.54 DIM=100.00"", ""P0.54 DIM2=100.00"", ""P0.54 SHUTTER=18.95"", ""P0.54 SHUTTER2=18.95""]","[""P0.54 PAN=45.36"", ""P0.54 TILT=50.95"", ""P0.54 POSITIONMSPEED=0.00""]",[],"[""P0.54 COLORMIXER=0.00"", ""P0.54 COLORRGB1=99.40"", ""P0.54 COLORRGB2=99.40"", ""P0.54 COLORRGB3=99.40"", ""P0.54 COLORRGB5=100.00"", ""P0.54 COLORTEMPERATURE=0.00"", ""P0.54 COLORRGB31=0.00"", ""P0.54 COLORRGB32=0.00"", ""P0.54 COLORRGB33=0.00"", ""P0.54 COLORRGB35=0.00""]","[""P0.54 ZOOM=100.00""]",[],"[""P0.54 FIXTUREGLOBALRESET=0.00"", ""P0.54 MODE3=17.69"", ""P0.54 EFFECTMACROS=0.00"", ""P0.54 EFFECTMACRORATE=0.00"", ""P0.54 EFFECTMACROTIME=0.00"", ""P0.54 MACROS=0.00"", ""P0.54 EFFECTMACROS2=0.00""]","[""0.54""]",2,0,25
11,QJU,1,lidi,3,Spiider 3,3 Robin Spiider Mode 3,2.067,"[""D DIM=0.00"", ""D DIM2=0.00"", ""P0.54 DIM=100.00"", ""P0.54 DIM2=100.00"", ""P0.54 SHUTTER=18.95"", ""P0.54 SHUTTER2=18.95""]","[""P0.54 PAN=-62.37"", ""P0.54 TILT=66.13"", ""P0.54 POSITIONMSPEED=0.00""]",[],"[""P0.54 COLORMIXER=0.00"", ""P0.54 COLORRGB1=99.40"", ""P0.54 COLORRGB2=99.40"", ""P0.54 COLORRGB3=99.40"", ""P0.54 COLORRGB5=100.00"", ""P0.54 COLORTEMPERATURE=0.00"", ""P0.54 COLORRGB31=0.00"", ""P0.54 COLORRGB32=0.00"", ""P0.54 COLORRGB33=0.00"", ""P0.54 COLORRGB35=0.00""]","[""P0.54 ZOOM=84.50""]",[],"[""P0.54 FIXTUREGLOBALRESET=0.00"", ""P0.54 MODE3=17.69"", ""P0.54 EFFECTMACROS=0.00"", ""P0.54 EFFECTMACRORATE=0.00"", ""P0.54 EFFECTMACROTIME=0.00"", ""P0.54 MACROS=0.00"", ""P0.54 EFFECTMACROS2=0.00""]","[""0.54""]",2,0,25
11,QJU,1,lidi,4,Spiider 4,3 Robin Spiider Mode 3,2.100,"[""D DIM=0.00"", ""D DIM2=0.00"", ""P0.54 DIM=100.00"", ""P0.54 DIM2=100.00"", ""P0.54 SHUTTER=18.95"", ""P0.54 SHUTTER2=18.95""]","[""P0.54 PAN=-54.27"", ""P0.54 TILT=69.92"", ""P0.54 POSITIONMSPEED=0.00""]",[],"[""P0.54 COLORMIXER=0.00"", ""P0.54 COLORRGB1=99.40"", ""P0.54 COLORRGB2=99.40"", ""P0.54 COLORRGB3=99.40"", ""P0.54 COLORRGB5=100.00"", ""P0.54 COLORTEMPERATURE=0.00"", ""P0.54 COLORRGB31=0.00"", ""P0.54 COLORRGB32=0.00"", ""P0.54 COLORRGB33=0.00"", ""P0.54 COLORRGB35=0.00""]","[""P0.54 ZOOM=100.00""]",[],"[""P0.54 FIXTUREGLOBALRESET=0.00"", ""P0.54 MODE3=17.69"", ""P0.54 EFFECTMACROS=0.00"", ""P0.54 EFFECTMACRORATE=0.00"", ""P0.54 EFFECTMACROTIME=0.00"", ""P0.54 MACROS=0.00"", ""P0.54 EFFECTMACROS2=0.00""]","[""0.54""]",2,0,25
11,QJU,1,lidi,5,Spiider 5,3 Robin Spiider Mode 3,4.001,"[""P0.52 DIM=0.00"", ""P0.52 DIM2=52.50""]","[""P0.52 PAN=100.71"", ""P0.52 TILT=36.23""]",[],"[""P0.52 COLORRGB1=8.78"", ""P0.52 COLORRGB2=55.08"", ""P0.52 COLORRGB3=100.00"", ""P0.52 COLORRGB5=29.63"", ""P0.52 COLORRGB31=0.00"", ""P0.52 COLORRGB32=0.00"", ""P0.52 COLORRGB33=0.00"", ""P0.52 COLORRGB35=0.00""]","[""P0.52 ZOOM=100.00""]",[],[],"[""0.52""]",0,0,13
11,QJU,1,lidi,6,Spiider 6,3 Robin Spiider Mode 3,4.034,"[""D DIM=0.00"", ""D DIM2=0.00"", ""P0.54 DIM=100.00"", ""P0.54 DIM2=100.00"", ""P0.54 SHUTTER=18.95"", ""P0.54 SHUTTER2=18.95""]","[""P0.54 PAN=-45.36"", ""P0.54 TILT=50.95"", ""P0.54 POSITIONMSPEED=0.00""]",[],"[""P0.54 COLORMIXER=0.00"", ""P0.54 COLORRGB1=99.40"", ""P0.54 COLORRGB2=99.40"", ""P0.54 COLORRGB3=99.40"", ""P0.54 COLORRGB5=100.00"", ""P0.54 COLORTEMPERATURE=0.00"", ""P0.54 COLORRGB31=0.00"", ""P0.54 COLORRGB32=0.00"", ""P0.54 COLORRGB33=0.00"", ""P0.54 COLORRGB35=0.00""]","[""P0.54 ZOOM=100.00""]",[],"[""P0.54 FIXTUREGLOBALRESET=0.00"", ""P0.54 MODE3=17.69"", ""P0.54 EFFECTMACROS=0.00"", ""P0.54 EFFECTMACRORATE=0.00"", ""P0.54 EFFECTMACROTIME=0.00"", ""P0.54 MACROS=0.00"", ""P0.54 EFFECTMACROS2=0.00""]","[""0.54""]",2,0,25
11,QJU,1,lidi,7,Spiider 7,3 Robin Spiider Mode 3,4.067,"[""P0.52 DIM=0.00"", ""P0.52 DIM2=43.00"", ""P0.54 DIM=100.00"", ""P0.54 DIM2=100.00"", ""P0.54 SHUTTER=18.95"", ""P0.54 SHUTTER2=18.95""]","[""P0.52 PAN=-92.34"", ""P0.52 TILT=46.92"", ""P0.54 PAN=62.37"", ""P0.54 TILT=66.13"", ""P0.54 POSITIONMSPEED=0.00""]",[],"[""P0.52 COLORRGB1=8.78"", ""P0.52 COLORRGB2=55.08"", ""P0.52 COLORRGB3=100.00"", ""P0.52 COLORRGB5=29.63"", ""P0.52 COLORRGB31=0.00"", ""P0.52 COLORRGB32=0.00"", ""P0.52 COLORRGB33=0.00"", ""P0.52 COLORRGB35=0.00"", ""P0.54 COLORMIXER=0.00"", ""P0.54 COLORRGB1=99.40"", ""P0.54 COLORRGB2=99.40"", ""P0.54 COLORRGB3=99.40"", ""P0.54 COLORRGB5=100.00"", ""P0.54 COLORTEMPERATURE=0.00"", ""P0.54 COLORRGB31=0.00"", ""P0.54 COLORRGB32=0.00"", ""P0.54 COLORRGB33=0.00"", ""P0.54 COLORRGB35=0.00""]","[""P0.52 ZOOM=91.00"", ""P0.54 ZOOM=84.50""]",[],"[""P0.54 FIXTUREGLOBALRESET=0.00"", ""P0.54 MODE3=17.69"", ""P0.54 EFFECTMACROS=0.00"", ""P0.54 EFFECTMACRORATE=0.00"", ""P0.54 EFFECTMACROTIME=0.00"", ""P0.54 MACROS=0.00"", ""P0.54 EFFECTMACROS2=0.00""]","[""0.52"", ""0.54""]",0,0,38
11,QJU,1,lidi,8,Spiider 8,3 Robin Spiider Mode 3,4.100,"[""D DIM=0.00"", ""D DIM2=0.00"", ""P0.54 DIM=100.00"", ""P0.54 DIM2=100.00"", ""P0.54 SHUTTER=18.95"", ""P0.54 SHUTTER2=18.95""]","[""P0.54 PAN=54.27"", ""P0.54 TILT=69.92"", ""P0.54 POSITIONMSPEED=0.00""]",[],"[""P0.54 COLORMIXER=0.00"", ""P0.54 COLORRGB1=99.40"", ""P0.54 COLORRGB2=99.40"", ""P0.54 COLORRGB3=99.40"", ""P0.54 COLORRGB5=100.00"", ""P0.54 COLORTEMPERATURE=0.00"", ""P0.54 COLORRGB31=0.00"", ""P0.54 COLORRGB32=0.00"", ""P0.54 COLORRGB33=0.00"", ""P0.54 COLORRGB35=0.00""]","[""P0.54 ZOOM=100.00""]",[],"[""P0.54 FIXTUREGLOBALRESET=0.00"", ""P0.54 MODE3=17.69"", ""P0.54 EFFECTMACROS=0.00"", ""P0.54 EFFECTMACRORATE=0.00"", ""P0.54 EFFECTMACROTIME=0.00"", ""P0.54 MACROS=0.00"", ""P0.54 EFFECTMACROS2=0.00""]","[""0.54""]",2,0,25
11,QJU,1,lidi,9,,,,[],[],[],[],[],[],[],[],0,0,0
11,QJU,1,lidi,10,,,,[],[],[],[],[],[],[],[],0,0,0
