sequence_id,sequence_number,sequence_name,cue_range,cue_count,average_score,worst_cue_score,high_count,average_hard_values,average_mixed_fixtures,average_similarity,summary
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,81 - 85,5,44.2,69,3,34.0,1.2,0.057,"high cues=3, avg hard=34.0, avg similarity=0.06"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,5 - 9,5,40.2,73,2,14.4,2.6,0.08,"high cues=2, avg hard=14.4, avg similarity=0.08"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,94 - 98,5,39.0,83,2,24.8,1.6,0.025,"high cues=2, avg hard=24.8, avg similarity=0.02"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,95 - 99,5,39.0,83,2,24.8,1.6,0.056,"high cues=2, avg hard=24.8, avg similarity=0.06"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,6 - 9.5,5,38.2,73,2,14.2,2.6,0.075,"high cues=2, avg hard=14.2, avg similarity=0.07"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,76 - 80,5,37.0,58,2,39.0,0.0,0.187,"high cues=2, avg hard=39.0, avg similarity=0.19"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,109 - 114,5,36.8,54,1,541.2,10.8,0.307,"high cues=1, avg hard=541.2, avg similarity=0.31"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,85 - 89,5,35.8,91,2,30.2,1.8,0.134,"high cues=2, avg hard=30.2, avg similarity=0.13"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,80.6 - 84,5,35.8,69,2,19.4,1.2,0.068,"high cues=2, avg hard=19.4, avg similarity=0.07"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,96 - 100,5,35.2,83,2,23.4,1.6,0.115,"high cues=2, avg hard=23.4, avg similarity=0.11"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,97 - 101,5,35.2,83,2,23.4,1.6,0.145,"high cues=2, avg hard=23.4, avg similarity=0.14"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,75 - 79,5,34.8,57,2,32.8,0.0,0.143,"high cues=2, avg hard=32.8, avg similarity=0.14"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,82 - 86,5,34.2,69,2,21.2,1.2,0.053,"high cues=2, avg hard=21.2, avg similarity=0.05"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,80 - 81,5,33.6,65,2,25.8,0.0,0.108,"high cues=2, avg hard=25.8, avg similarity=0.11"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,83 - 87,5,32.8,69,2,21.2,1.2,0.097,"high cues=2, avg hard=21.2, avg similarity=0.10"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,89 - 93,5,32.2,91,1,16.0,1.8,0.051,"high cues=1, avg hard=16.0, avg similarity=0.05"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,108 - 113,5,31.8,54,1,378.4,7.2,0.233,"high cues=1, avg hard=378.4, avg similarity=0.23"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,84 - 88,5,31.4,69,2,21.0,1.2,0.144,"high cues=2, avg hard=21.0, avg similarity=0.14"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,36 - 38,5,31.0,75,1,18.8,0.4,0.233,"high cues=1, avg hard=18.8, avg similarity=0.23"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,88 - 92,5,30.8,91,1,15.8,1.8,0.1,"high cues=1, avg hard=15.8, avg similarity=0.10"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,87 - 91,5,29.4,91,1,16.0,1.8,0.143,"high cues=1, avg hard=16.0, avg similarity=0.14"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,35 - 37,5,29.4,75,1,18.8,0.4,0.209,"high cues=1, avg hard=18.8, avg similarity=0.21"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,65 - 69,5,29.0,57,1,25.0,0.0,0.029,"high cues=1, avg hard=25.0, avg similarity=0.03"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,98 - 102,5,28.8,83,1,13.8,1.6,0.139,"high cues=1, avg hard=13.8, avg similarity=0.14"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,4 - 8.5,5,28.8,73,1,10.6,2.4,0.096,"high cues=1, avg hard=10.6, avg similarity=0.10"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,77 - 80.1,5,28.6,58,1,26.4,0.0,0.175,"high cues=1, avg hard=26.4, avg similarity=0.17"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,78 - 80.5,5,28.6,58,1,26.0,0.0,0.17,"high cues=1, avg hard=26.0, avg similarity=0.17"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,79 - 80.6,5,28.6,58,1,25.8,0.0,0.165,"high cues=1, avg hard=25.8, avg similarity=0.16"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,34 - 36.6,5,28.0,75,1,19.0,0.4,0.246,"high cues=1, avg hard=19.0, avg similarity=0.25"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,64 - 68,5,27.6,57,1,25.0,0.0,0.065,"high cues=1, avg hard=25.0, avg similarity=0.07"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,86 - 90,5,27.4,91,1,15.8,1.8,0.131,"high cues=1, avg hard=15.8, avg similarity=0.13"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,3.5 - 8,5,27.4,73,1,10.6,2.4,0.133,"high cues=1, avg hard=10.6, avg similarity=0.13"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,105.7 - 109,5,27.4,57,1,237.8,0.0,0.01,"high cues=1, avg hard=237.8, avg similarity=0.01"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,106 - 110,5,27.4,57,1,238.0,0.0,0.028,"high cues=1, avg hard=238.0, avg similarity=0.03"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,72 - 78,5,26.8,57,2,20.2,0.0,0.179,"high cues=2, avg hard=20.2, avg similarity=0.18"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,107 - 112,5,26.8,54,1,257.6,4.4,0.098,"high cues=1, avg hard=257.6, avg similarity=0.10"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,99 - 103,5,25.8,68,1,10.4,2.4,0.223,"high cues=1, avg hard=10.4, avg similarity=0.22"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,70 - 76,5,25.4,57,2,20.0,0.0,0.226,"high cues=2, avg hard=20.0, avg similarity=0.23"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,93 - 97,5,25.4,47,1,12.0,0.0,0.025,"high cues=1, avg hard=12.0, avg similarity=0.02"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,42 - 46,5,25.2,42,0,19.6,0.0,0.741,"high cues=0, avg hard=19.6, avg similarity=0.74"
