issue_type,severity,subject,details
mixed_control_mode,high,11 Robin Esprite Mode 2 / COLOR1,"hard_atoms=31, preset_refs=61, fixtures=8, cues=32"
mixed_control_mode,high,11 Robin Esprite Mode 2 / COLOR2,"hard_atoms=31, preset_refs=61, fixtures=8, cues=32"
mixed_control_mode,high,11 Robin Esprite Mode 2 / COLORRGB1,"hard_atoms=31, preset_refs=61, fixtures=8, cues=32"
mixed_control_mode,high,11 Robin Esprite Mode 2 / COLORRGB2,"hard_atoms=31, preset_refs=61, fixtures=8, cues=32"
mixed_control_mode,high,11 Robin Esprite Mode 2 / COLORRGB3,"hard_atoms=31, preset_refs=61, fixtures=8, cues=32"
mixed_control_mode,high,11 Robin Esprite Mode 2 / CTO,"hard_atoms=10, preset_refs=71, fixtures=8, cues=30"
mixed_control_mode,high,11 Robin Esprite Mode 2 / GOBO2,"hard_atoms=10, preset_refs=78, fixtures=8, cues=30"
mixed_control_mode,high,11 Robin Esprite Mode 2 / GOBO2_POS,"hard_atoms=11, preset_refs=76, fixtures=8, cues=29"
mixed_control_mode,high,11 Robin Esprite Mode 2 / INTENSITYMACROS,"hard_atoms=12, preset_refs=67, fixtures=8, cues=30"
mixed_control_mode,high,11 Robin Esprite Mode 2 / IRIS,"hard_atoms=10, preset_refs=78, fixtures=8, cues=30"
mixed_control_mode,high,11 Robin Esprite Mode 2 / PAN,"hard_atoms=10, preset_refs=86, fixtures=8, cues=33"
mixed_control_mode,high,11 Robin Esprite Mode 2 / TILT,"hard_atoms=10, preset_refs=86, fixtures=8, cues=33"
mixed_control_mode,high,11 Robin Esprite Mode 2 / ZOOM,"hard_atoms=13, preset_refs=81, fixtures=8, cues=31"
mixed_control_mode,high,12 Robin LEDBeam 350 Mode 1 / COLORMIXER,"hard_atoms=12, preset_refs=228, fixtures=12, cues=25"
mixed_control_mode,high,12 Robin LEDBeam 350 Mode 1 / COLORRGB1,"hard_atoms=124, preset_refs=276, fixtures=12, cues=55"
mixed_control_mode,high,12 Robin LEDBeam 350 Mode 1 / COLORRGB2,"hard_atoms=124, preset_refs=276, fixtures=12, cues=55"
mixed_control_mode,high,12 Robin LEDBeam 350 Mode 1 / COLORRGB3,"hard_atoms=124, preset_refs=276, fixtures=12, cues=55"
mixed_control_mode,high,12 Robin LEDBeam 350 Mode 1 / COLORRGB5,"hard_atoms=124, preset_refs=276, fixtures=12, cues=55"
mixed_control_mode,high,12 Robin LEDBeam 350 Mode 1 / COLORTEMPERATURE,"hard_atoms=12, preset_refs=228, fixtures=12, cues=25"
mixed_control_mode,high,14 Hotbox RGBW 8 channel / COLORRGB1,"hard_atoms=29, preset_refs=17, fixtures=7, cues=13"
mixed_control_mode,high,14 Hotbox RGBW 8 channel / COLORRGB2,"hard_atoms=29, preset_refs=17, fixtures=7, cues=13"
mixed_control_mode,high,14 Hotbox RGBW 8 channel / COLORRGB3,"hard_atoms=29, preset_refs=17, fixtures=7, cues=13"
mixed_control_mode,high,14 Hotbox RGBW 8 channel / COLORRGB5,"hard_atoms=29, preset_refs=17, fixtures=7, cues=13"
mixed_control_mode,high,3 Robin Spiider Mode 3 / COLORRGB1,"hard_atoms=131, preset_refs=74, fixtures=8, cues=46"
mixed_control_mode,high,3 Robin Spiider Mode 3 / COLORRGB2,"hard_atoms=131, preset_refs=74, fixtures=8, cues=46"
mixed_control_mode,high,3 Robin Spiider Mode 3 / COLORRGB3,"hard_atoms=131, preset_refs=74, fixtures=8, cues=46"
mixed_control_mode,high,3 Robin Spiider Mode 3 / COLORRGB31,"hard_atoms=123, preset_refs=74, fixtures=8, cues=45"
mixed_control_mode,high,3 Robin Spiider Mode 3 / COLORRGB32,"hard_atoms=123, preset_refs=74, fixtures=8, cues=45"
mixed_control_mode,high,3 Robin Spiider Mode 3 / COLORRGB33,"hard_atoms=123, preset_refs=74, fixtures=8, cues=45"
mixed_control_mode,high,3 Robin Spiider Mode 3 / COLORRGB35,"hard_atoms=123, preset_refs=74, fixtures=8, cues=45"
mixed_control_mode,high,3 Robin Spiider Mode 3 / COLORRGB5,"hard_atoms=131, preset_refs=74, fixtures=8, cues=46"
mixed_control_mode,high,Unknown / COLORRGB1,"hard_atoms=822, preset_refs=936, fixtures=10, cues=14"
mixed_control_mode,high,Unknown / COLORRGB2,"hard_atoms=822, preset_refs=936, fixtures=10, cues=14"
mixed_control_mode,high,Unknown / COLORRGB3,"hard_atoms=822, preset_refs=936, fixtures=10, cues=14"
mixed_control_mode,high,Unknown / COLORRGB5,"hard_atoms=822, preset_refs=1032, fixtures=10, cues=14"
mixed_control_mode,high,Unknown / PAN,"hard_atoms=37, preset_refs=39, fixtures=10, cues=12"
mixed_control_mode,high,Unknown / TILT,"hard_atoms=37, preset_refs=39, fixtures=10, cues=12"
mixed_control_mode,high,Unknown / ZOOM,"hard_atoms=18, preset_refs=44, fixtures=8, cues=10"
mixed_control_mode,medium,11 Robin Esprite Mode 2 / ANIMATIONINDEXROTATE,"hard_atoms=9, preset_refs=71, fixtures=8, cues=29"
mixed_control_mode,medium,11 Robin Esprite Mode 2 / ANIMATIONWHEEL,"hard_atoms=9, preset_refs=71, fixtures=8, cues=29"
mixed_control_mode,medium,11 Robin Esprite Mode 2 / BLADE1A,"hard_atoms=8, preset_refs=74, fixtures=8, cues=30"
