source_type,source_id,target_type,target_id,relation_type,evidence
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,reference,preset:0.52
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,reference,preset:0.54
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,reference,preset:0.86
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.50,reference,preset:0.50
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.51,reference,preset:0.51
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.49,reference,preset:0.49
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:DIM=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:DIM2=50.5
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:PAN=-80.185875
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:TILT=41.286705
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:COLORRGB1=8.7791595
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:COLORRGB2=55.080643
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:COLORRGB3=99.999992
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:COLORRGB5=29.629635
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:COLORRGB31=9.9999997e-06
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:COLORRGB32=9.9999997e-06
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:COLORRGB33=9.9999997e-06
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:COLORRGB35=9.9999997e-06
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:ZOOM=100
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:PAN=45.364136
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:TILT=50.946697
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:POSITIONMSPEED=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:FIXTUREGLOBALRESET=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:COLORMIXER=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:COLORRGB1=99.404755
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:COLORRGB2=99.404755
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:COLORRGB3=99.404755
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:COLORRGB5=99.999992
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:COLORTEMPERATURE=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:MODE3=17.688679
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:EFFECTMACROS=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:EFFECTMACRORATE=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:EFFECTMACROTIME=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:MACROS=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:COLORRGB31=9.9999997e-06
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:COLORRGB32=9.9999997e-06
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:COLORRGB33=9.9999997e-06
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:COLORRGB35=9.9999997e-06
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:EFFECTMACROS2=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:SHUTTER=18.945
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:ZOOM=100
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:SHUTTER2=18.945
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:PAN=-62.366024
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:TILT=66.12677
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:ZOOM=84.499237
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:PAN=-54.265873
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:TILT=69.921761
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:DIM2=52.5
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:PAN=100.71407
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:TILT=36.2267
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:PAN=-45.355896
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:DIM2=43
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:PAN=-92.335831
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:TILT=46.921722
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.52,value_reference,atom:ZOOM=91
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.54,value_reference,atom:PAN=54.274113
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:GOBO2=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:EFFECTWHEEL=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:PAN=-43.195942
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:TILT=-55.857716
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:POSITIONMSPEED=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:FIXTUREGLOBALRESET=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:PWMFREQUENCY=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:PWMFREQUENCYADJUST=50.196079
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:INTENSITYMACROS=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:COLOR1=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:COLOR2=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:COLORRGB1=100
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:COLORRGB2=100
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:COLORRGB3=100
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:CTO=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:COLORMIXER=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:COLORMIXMSPEED=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:COLORMIXMSPEED2=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:ZOOMMSPEED=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:ANIMATIONWHEEL=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:ANIMATIONINDEXROTATE=50.196079
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:EFFECTMACROS=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:GOBO1=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:GOBO2_POS=50.199997
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:EFFECTINDEXROTATE=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:FROST=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:IRIS=75
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:ZOOM=100
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:FOCUS=49.803921
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:SHAPER ROT=50.196079
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:BLADE1A=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:BLADE1B=50.196079
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:BLADE2A=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:BLADE2B=50.196079
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:BLADE3A=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:BLADE3B=50.196079
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:BLADE4A=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:BLADE4B=50.196079
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:SHUTTER=18.897638
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:PAN=221.40413
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:TILT=-64.25769
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.50,value_reference,atom:DIM=50
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.50,value_reference,atom:PAN=0.004119873
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.50,value_reference,atom:TILT=-14.557869
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.50,value_reference,atom:COLOR1=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.50,value_reference,atom:COLOR2=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.50,value_reference,atom:COLORRGB1=99.999992
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.50,value_reference,atom:COLORRGB2=99.999992
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.50,value_reference,atom:COLORRGB3=99.999992
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.50,value_reference,atom:FROST=87.695061
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.50,value_reference,atom:ZOOM=76.5
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.50,value_reference,atom:FOCUS=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.50,value_reference,atom:TILT=14.562141
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:PAN=165.78442
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:TILT=-60.197708
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:PAN=49.684124
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.86,value_reference,atom:TILT=-57.957718
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.51,value_reference,atom:PAN=-8.0958796
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.51,value_reference,atom:TILT=-86.797768
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.51,value_reference,atom:COLOR1=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.51,value_reference,atom:COLOR2=0
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.51,value_reference,atom:COLORRGB1=99.999992
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.51,value_reference,atom:COLORRGB2=99.999992
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.51,value_reference,atom:COLORRGB3=99.999992
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.51,value_reference,atom:ZOOM=59.803921
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.51,value_reference,atom:FOCUS=19.803921
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.51,value_reference,atom:SHAPER ROT=50.196079
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.51,value_reference,atom:BLADE1A=28.910248
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.51,value_reference,atom:BLADE1B=50.000027
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.51,value_reference,atom:BLADE2A=36.17783
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.51,value_reference,atom:BLADE2B=50.000027
cue,cue:11:1:Studio_54_main_sequences.xml:1,preset,0.51,value_reference,atom:BLADE3A=10.319966
