sequence_number,sequence_name,cue_number,cue_name,trigger,trigger_time,fade,delay,down_delay,command,fixture_ids,fixture_details,references,preset_refs,effect_refs,group_refs,dimmer_value_count,hard_value_count,hard_value_attributes,hard_value_preview,source_file
11,QJU,1,lidi,Go,,1.5,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 21, 9, 10, 19, 20, 22, 23, 24, 25, 26, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 61, 62, 63, 64, 65, 66, 71, 72, 73, 74, 75, 76, 77, 78, 31, 32, 33]","[""1 | Spiider 1 | 3 Robin Spiider Mode 3 | 2.001"", ""2 | Spiider 2 | 3 Robin Spiider Mode 3 | 2.034"", ""3 | Spiider 3 | 3 Robin Spiider Mode 3 | 2.067"", ""4 | Spiider 4 | 3 Robin Spiider Mode 3 | 2.100"", ""5 | Spiider 5 | 3 Robin Spiider Mode 3 | 4.001"", ""6 | Spiider 6 | 3 Robin Spiider Mode 3 | 4.034"", ""7 | Spiider 7 | 3 Robin Spiider Mode 3 | 4.067"", ""8 | Spiider 8 | 3 Robin Spiider Mode 3 | 4.100"", ""11 | Esprite 1 | 11 Robin Esprite Mode 2 | 2.133"", ""12 | Esprite 2 | 11 Robin Esprite Mode 2 | 2.175"", ""13 | Esprite 3 | 11 Robin Esprite Mode 2 | 3.001"", ""14 | Esprite 4 | 11 Robin Esprite Mode 2 | 3.043"", ""15 | Esprite 5 | 11 Robin Esprite Mode 2 | 3.085"", ""16 | Esprite 6 | 11 Robin Esprite Mode 2 | 3.127"", ""17 | Esprite 7 | 11 Robin Esprite Mode 2 | 4.133"", ""18 | Esprite 8 | 11 Robin Esprite Mode 2 | 4.175"", ""21 | Fixture 21"", ""9"", ""10"", ""19"", ""20"", ""22 | Fixture 22"", ""23 | Fixture 23"", ""24 | Fixture 24"", ""25 | Fixture 25"", ""26 | Fixture 26"", ""41 | RLB350M1 1 | 12 Robin LEDBeam 350 Mode 1 | 13.001"", ""42 | RLB350M1 2 | 12 Robin LEDBeam 350 Mode 1 | 13.023"", ""43 | RLB350M1 3 | 12 Robin LEDBeam 350 Mode 1 | 13.045"", ""44 | RLB350M1 4 | 12 Robin LEDBeam 350 Mode 1 | 13.067"", ""45 | RLB350M1 5 | 12 Robin LEDBeam 350 Mode 1 | 13.089"", ""46 | RLB350M1 6 | 12 Robin LEDBeam 350 Mode 1 | 13.111"", ""47 | RLB350M1 7 | 12 Robin LEDBeam 350 Mode 1 | 5.001"", ""48 | RLB350M1 8 | 12 Robin LEDBeam 350 Mode 1 | 5.023"", ""49 | RLB350M1 9 | 12 Robin LEDBeam 350 Mode 1 | 5.045"", ""50 | RLB350M1 10 | 12 Robin LEDBeam 350 Mode 1 | 5.067"", ""51 | RLB350M1 11 | 12 Robin LEDBeam 350 Mode 1 | 5.089"", ""52 | RLB350M1 12 | 12 Robin LEDBeam 350 Mode 1 | 5.111"", ""61 | HotboxW8 1 | 14 Hotbox RGBW 8 channel | 2.217"", ""62 | HotboxW8 2 | 14 Hotbox RGBW 8 channel | 2.225"", ""63 | HotboxW8 3 | 14 Hotbox RGBW 8 channel | 2.233"", ""64 | HotboxW8 4 | 14 Hotbox RGBW 8 channel | 2.241"", ""65 | HotboxW8 5 | 14 Hotbox RGBW 8 channel | 2.249"", ""66 | HotboxW8 6 | 14 Hotbox RGBW 8 channel | 2.257"", ""71 | HelM1 1 | 16 Helios Tube 1: RGB - 1 Pixel - Strobe Off | 14.001"", ""72 | HelM1 2 | 16 Helios Tube 1: RGB - 1 Pixel - Strobe Off | 14.004"", ""73 | HelM1 3 | 16 Helios Tube 1: RGB - 1 Pixel - Strobe Off | 14.007"", ""74 | HelM1 4 | 16 Helios Tube 1: RGB - 1 Pixel - Strobe Off | 14.010"", ""75 | HelM1 5 | 16 Helios Tube 1: RGB - 1 Pixel - Strobe Off | 14.013"", ""76 | HelM1 6 | 16 Helios Tube 1: RGB - 1 Pixel - Strobe Off | 14.016"", ""77 | HelM1 7 | 16 Helios Tube 1: RGB - 1 Pixel - Strobe Off | 14.019"", ""78 | HelM1 8 | 16 Helios Tube 1: RGB - 1 Pixel - Strobe Off | 14.022"", ""31 | Robin SVB1 1 | 7 Robin SVB1 Mode 3 - Pixel"", ""32 | Robin SVB1 2 | 7 Robin SVB1 Mode 3 - Pixel"", ""33 | Robin SVB1 3 | 7 Robin SVB1 Mode 3 - Pixel""]","[""preset:0.52"", ""preset:0.54"", ""preset:0.86"", ""preset:0.50"", ""preset:0.51"", ""preset:0.49""]","[""preset:0.49"", ""preset:0.50"", ""preset:0.51"", ""preset:0.52"", ""preset:0.54"", ""preset:0.86""]",[],[],159,622,"[""ANIMATIONINDEXROTATE"", ""ANIMATIONWHEEL"", ""BLADE1A"", ""BLADE1B"", ""BLADE2A"", ""BLADE2B"", ""BLADE3A"", ""BLADE3B"", ""BLADE4A"", ""BLADE4B"", ""COLORMIXER"", ""COLORMIXMSPEED"", ""COLORMIXMSPEED2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTO"", ""EFFECTINDEXROTATE"", ""EFFECTMACROS"", ""EFFECTWHEEL"", ""FIXTUREGLOBALRESET"", ""GOBO1"", ""GOBO2"", ""GOBO2_POS"", ""INTENSITYMACROS"", ""IRIS"", ""PAN"", ""POSITIONMSPEED"", ""PWMFREQUENCY"", ""PWMFREQUENCYADJUST"", ""SHAPER ROT"", ""TILT"", ""ZOOM"", ""ZOOMMSPEED"", ""basic_fade""]","[{""attribute"": ""PAN"", ""raw_value"": ""-31.86"", ""fixture_id"": 13}, {""attribute"": ""TILT"", ""raw_value"": ""-53.62"", ""fixture_id"": 13}, {""attribute"": ""ZOOM"", ""raw_value"": ""100.00"", ""fixture_id"": 13}, {""attribute"": ""GOBO2"", ""raw_value"": ""0.00"", ""fixture_id"": 14}, {""attribute"": ""EFFECTWHEEL"", ""raw_value"": ""0.00"", ""fixture_id"": 14}, {""attribute"": ""POSITIONMSPEED"", ""raw_value"": ""0.00"", ""fixture_id"": 14}, {""attribute"": ""FIXTUREGLOBALRESET"", ""raw_value"": ""0.00"", ""fixture_id"": 14}, {""attribute"": ""PWMFREQUENCY"", ""raw_value"": ""0.00"", ""fixture_id"": 14}, {""attribute"": ""PWMFREQUENCYADJUST"", ""raw_value"": ""50.20"", ""fixture_id"": 14}, {""attribute"": ""INTENSITYMACROS"", ""raw_value"": ""0.00"", ""fixture_id"": 14}, {""attribute"": ""CTO"", ""raw_value"": ""0.00"", ""fixture_id"": 14}, {""attribute"": ""COLORMIXER"", ""raw_value"": ""0.00"", ""fixture_id"": 14}, {""attribute"": ""COLORMIXMSPEED"", ""raw_value"": ""0.00"", ""fixture_id"": 14}, {""attribute"": ""COLORMIXMSPEED2"", ""raw_value"": ""0.00"", ""fixture_id"": 14}, {""attribute"": ""ZOOMMSPEED"", ""raw_value"": ""0.00"", ""fixture_id"": 14}, {""attribute"": ""ANIMATIONWHEEL"", ""raw_value"": ""0.00"", ""fixture_id"": 14}, {""attribute"": ""ANIMATIONINDEXROTATE"", ""raw_value"": ""50.20"", ""fixture_id"": 14}, {""attribute"": ""EFFECTMACROS"", ""raw_value"": ""0.00"", ""fixture_id"": 14}, {""attribute"": ""GOBO1"", ""raw_value"": ""0.00"", ""fixture_id"": 14}, {""attribute"": ""GOBO2_POS"", ""raw_value"": ""50.20"", ""fixture_id"": 14}]",C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-105738-c6da1cc5\uploads\Studio_54_main_sequences.xml
11,QJU,2,Miki tma zacatek interview,Go,,10,,,,"[11, 12, 16, 17, 18, 65]","[""11 | Esprite 1 | 11 Robin Esprite Mode 2 | 2.133"", ""12 | Esprite 2 | 11 Robin Esprite Mode 2 | 2.175"", ""16 | Esprite 6 | 11 Robin Esprite Mode 2 | 3.127"", ""17 | Esprite 7 | 11 Robin Esprite Mode 2 | 4.133"", ""18 | Esprite 8 | 11 Robin Esprite Mode 2 | 4.175"", ""65 | HotboxW8 5 | 14 Hotbox RGBW 8 channel | 2.249""]",[],[],[],[],6,1,"[""basic_fade""]","[{""attribute"": ""basic_fade"", ""raw_value"": ""10.00"", ""fixture_id"": null}]",C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-105738-c6da1cc5\uploads\Studio_54_main_sequences.xml
11,QJU,3,zpet spot miki konec interview,Go,,,,,,"[11, 12, 16, 17, 18]","[""11 | Esprite 1 | 11 Robin Esprite Mode 2 | 2.133"", ""12 | Esprite 2 | 11 Robin Esprite Mode 2 | 2.175"", ""16 | Esprite 6 | 11 Robin Esprite Mode 2 | 3.127"", ""17 | Esprite 7 | 11 Robin Esprite Mode 2 | 4.133"", ""18 | Esprite 8 | 11 Robin Esprite Mode 2 | 4.175""]",[],[],[],[],5,0,[],[],C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-105738-c6da1cc5\uploads\Studio_54_main_sequences.xml
11,QJU,3.5,8x metronom odchazi miki,Go,,4,,,,[18],"[""18 | Esprite 8 | 11 Robin Esprite Mode 2 | 4.175""]",[],[],[],[],1,1,"[""basic_fade""]","[{""attribute"": ""basic_fade"", ""raw_value"": ""4.00"", ""fixture_id"": null}]",C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-105738-c6da1cc5\uploads\Studio_54_main_sequences.xml
11,QJU,4,zabouhne dvere,Go,,,,,,"[18, 667]","[""18 | Esprite 8 | 11 Robin Esprite Mode 2 | 4.175"", ""667 | voko | 17 Arcsource 12 RGB 00 | 9.430""]",[],[],[],[],2,0,[],[],C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-105738-c6da1cc5\uploads\Studio_54_main_sequences.xml
11,QJU,5,lidi pryc s hudbou,Follow,0,8,,,,"[1, 5, 7, 21, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 61, 62, 63, 64, 65, 66, 31, 32, 33]","[""1 | Spiider 1 | 3 Robin Spiider Mode 3 | 2.001"", ""5 | Spiider 5 | 3 Robin Spiider Mode 3 | 4.001"", ""7 | Spiider 7 | 3 Robin Spiider Mode 3 | 4.067"", ""21 | Fixture 21"", ""2 | Spiider 2 | 3 Robin Spiider Mode 3 | 2.034"", ""3 | Spiider 3 | 3 Robin Spiider Mode 3 | 2.067"", ""4 | Spiider 4 | 3 Robin Spiider Mode 3 | 2.100"", ""6 | Spiider 6 | 3 Robin Spiider Mode 3 | 4.034"", ""8 | Spiider 8 | 3 Robin Spiider Mode 3 | 4.100"", ""9"", ""10"", ""11 | Esprite 1 | 11 Robin Esprite Mode 2 | 2.133"", ""12 | Esprite 2 | 11 Robin Esprite Mode 2 | 2.175"", ""13 | Esprite 3 | 11 Robin Esprite Mode 2 | 3.001"", ""14 | Esprite 4 | 11 Robin Esprite Mode 2 | 3.043"", ""15 | Esprite 5 | 11 Robin Esprite Mode 2 | 3.085"", ""16 | Esprite 6 | 11 Robin Esprite Mode 2 | 3.127"", ""17 | Esprite 7 | 11 Robin Esprite Mode 2 | 4.133"", ""18 | Esprite 8 | 11 Robin Esprite Mode 2 | 4.175"", ""19"", ""20"", ""22 | Fixture 22"", ""23 | Fixture 23"", ""24 | Fixture 24"", ""25 | Fixture 25"", ""26 | Fixture 26"", ""41 | RLB350M1 1 | 12 Robin LEDBeam 350 Mode 1 | 13.001"", ""42 | RLB350M1 2 | 12 Robin LEDBeam 350 Mode 1 | 13.023"", ""43 | RLB350M1 3 | 12 Robin LEDBeam 350 Mode 1 | 13.045"", ""44 | RLB350M1 4 | 12 Robin LEDBeam 350 Mode 1 | 13.067"", ""45 | RLB350M1 5 | 12 Robin LEDBeam 350 Mode 1 | 13.089"", ""46 | RLB350M1 6 | 12 Robin LEDBeam 350 Mode 1 | 13.111"", ""47 | RLB350M1 7 | 12 Robin LEDBeam 350 Mode 1 | 5.001"", ""48 | RLB350M1 8 | 12 Robin LEDBeam 350 Mode 1 | 5.023"", ""49 | RLB350M1 9 | 12 Robin LEDBeam 350 Mode 1 | 5.045"", ""50 | RLB350M1 10 | 12 Robin LEDBeam 350 Mode 1 | 5.067"", ""51 | RLB350M1 11 | 12 Robin LEDBeam 350 Mode 1 | 5.089"", ""52 | RLB350M1 12 | 12 Robin LEDBeam 350 Mode 1 | 5.111"", ""61 | HotboxW8 1 | 14 Hotbox RGBW 8 channel | 2.217"", ""62 | HotboxW8 2 | 14 Hotbox RGBW 8 channel | 2.225"", ""63 | HotboxW8 3 | 14 Hotbox RGBW 8 channel | 2.233"", ""64 | HotboxW8 4 | 14 Hotbox RGBW 8 channel | 2.241"", ""65 | HotboxW8 5 | 14 Hotbox RGBW 8 channel | 2.249"", ""66 | HotboxW8 6 | 14 Hotbox RGBW 8 channel | 2.257"", ""31 | Robin SVB1 1 | 7 Robin SVB1 Mode 3 - Pixel"", ""32 | Robin SVB1 2 | 7 Robin SVB1 Mode 3 - Pixel"", ""33 | Robin SVB1 3 | 7 Robin SVB1 Mode 3 - Pixel""]",[],[],[],[],165,2,"[""basic_fade"", ""text""]","[{""attribute"": ""text"", ""raw_value"": ""zacatek hudby"", ""fixture_id"": null}, {""attribute"": ""basic_fade"", ""raw_value"": ""8.00"", ""fixture_id"": null}]",C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-105738-c6da1cc5\uploads\Studio_54_main_sequences.xml
11,QJU,6,platforma dole,Timecode,3635,20,,,,"[14, 15, 111, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 112, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 65]","[""14 | Esprite 4 | 11 Robin Esprite Mode 2 | 3.043"", ""15 | Esprite 5 | 11 Robin Esprite Mode 2 | 3.085"", ""111 | Fixture 111"", ""3 | Spiider 3 | 3 Robin Spiider Mode 3 | 2.067"", ""4 | Spiider 4 | 3 Robin Spiider Mode 3 | 2.100"", ""5 | Spiider 5 | 3 Robin Spiider Mode 3 | 4.001"", ""6 | Spiider 6 | 3 Robin Spiider Mode 3 | 4.034"", ""7 | Spiider 7 | 3 Robin Spiider Mode 3 | 4.067"", ""8 | Spiider 8 | 3 Robin Spiider Mode 3 | 4.100"", ""9"", ""10"", ""11 | Esprite 1 | 11 Robin Esprite Mode 2 | 2.133"", ""12 | Esprite 2 | 11 Robin Esprite Mode 2 | 2.175"", ""13 | Esprite 3 | 11 Robin Esprite Mode 2 | 3.001"", ""16 | Esprite 6 | 11 Robin Esprite Mode 2 | 3.127"", ""17 | Esprite 7 | 11 Robin Esprite Mode 2 | 4.133"", ""18 | Esprite 8 | 11 Robin Esprite Mode 2 | 4.175"", ""20"", ""21 | Fixture 21"", ""22 | Fixture 22"", ""23 | Fixture 23"", ""24 | Fixture 24"", ""25 | Fixture 25"", ""26 | Fixture 26"", ""27 | Fixture 27"", ""28 | Fixture 28"", ""29"", ""30"", ""31 | Robin SVB1 1 | 7 Robin SVB1 Mode 3 - Pixel"", ""32 | Robin SVB1 2 | 7 Robin SVB1 Mode 3 - Pixel"", ""112 | Fixture 112"", ""41 | RLB350M1 1 | 12 Robin LEDBeam 350 Mode 1 | 13.001"", ""42 | RLB350M1 2 | 12 Robin LEDBeam 350 Mode 1 | 13.023"", ""43 | RLB350M1 3 | 12 Robin LEDBeam 350 Mode 1 | 13.045"", ""44 | RLB350M1 4 | 12 Robin LEDBeam 350 Mode 1 | 13.067"", ""45 | RLB350M1 5 | 12 Robin LEDBeam 350 Mode 1 | 13.089"", ""46 | RLB350M1 6 | 12 Robin LEDBeam 350 Mode 1 | 13.111"", ""47 | RLB350M1 7 | 12 Robin LEDBeam 350 Mode 1 | 5.001"", ""48 | RLB350M1 8 | 12 Robin LEDBeam 350 Mode 1 | 5.023"", ""49 | RLB350M1 9 | 12 Robin LEDBeam 350 Mode 1 | 5.045"", ""50 | RLB350M1 10 | 12 Robin LEDBeam 350 Mode 1 | 5.067"", ""51 | RLB350M1 11 | 12 Robin LEDBeam 350 Mode 1 | 5.089"", ""52 | RLB350M1 12 | 12 Robin LEDBeam 350 Mode 1 | 5.111"", ""65 | HotboxW8 5 | 14 Hotbox RGBW 8 channel | 2.249""]","[""preset:0.26"", ""preset:0.34""]","[""preset:0.26"", ""preset:0.34""]",[],[],15,49,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""basic_fade""]","[{""attribute"": ""COLORRGB1"", ""raw_value"": ""95.24"", ""fixture_id"": 41}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""95.24"", ""fixture_id"": 41}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""95.24"", ""fixture_id"": 41}, {""attribute"": ""COLORRGB5"", ""raw_value"": ""100.00"", ""fixture_id"": 41}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""95.24"", ""fixture_id"": 42}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""95.24"", ""fixture_id"": 42}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""95.24"", ""fixture_id"": 42}, {""attribute"": ""COLORRGB5"", ""raw_value"": ""100.00"", ""fixture_id"": 42}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""95.24"", ""fixture_id"": 43}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""95.24"", ""fixture_id"": 43}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""95.24"", ""fixture_id"": 43}, {""attribute"": ""COLORRGB5"", ""raw_value"": ""100.00"", ""fixture_id"": 43}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""95.24"", ""fixture_id"": 44}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""95.24"", ""fixture_id"": 44}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""95.24"", ""fixture_id"": 44}, {""attribute"": ""COLORRGB5"", ""raw_value"": ""100.00"", ""fixture_id"": 44}, {""attribute"": ""COLORRGB1"", ""raw_value"": ""95.24"", ""fixture_id"": 45}, {""attribute"": ""COLORRGB2"", ""raw_value"": ""95.24"", ""fixture_id"": 45}, {""attribute"": ""COLORRGB3"", ""raw_value"": ""95.24"", ""fixture_id"": 45}, {""attribute"": ""COLORRGB5"", ""raw_value"": ""100.00"", ""fixture_id"": 45}]",C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-105738-c6da1cc5\uploads\Studio_54_main_sequences.xml
11,QJU,8,vrata,Timecode,3790,5,,,,"[16, 27, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 28]","[""16 | Esprite 6 | 11 Robin Esprite Mode 2 | 3.127"", ""27 | Fixture 27"", ""2 | Spiider 2 | 3 Robin Spiider Mode 3 | 2.034"", ""3 | Spiider 3 | 3 Robin Spiider Mode 3 | 2.067"", ""4 | Spiider 4 | 3 Robin Spiider Mode 3 | 2.100"", ""5 | Spiider 5 | 3 Robin Spiider Mode 3 | 4.001"", ""6 | Spiider 6 | 3 Robin Spiider Mode 3 | 4.034"", ""7 | Spiider 7 | 3 Robin Spiider Mode 3 | 4.067"", ""8 | Spiider 8 | 3 Robin Spiider Mode 3 | 4.100"", ""9"", ""10"", ""11 | Esprite 1 | 11 Robin Esprite Mode 2 | 2.133"", ""12 | Esprite 2 | 11 Robin Esprite Mode 2 | 2.175"", ""13 | Esprite 3 | 11 Robin Esprite Mode 2 | 3.001"", ""14 | Esprite 4 | 11 Robin Esprite Mode 2 | 3.043"", ""15 | Esprite 5 | 11 Robin Esprite Mode 2 | 3.085"", ""17 | Esprite 7 | 11 Robin Esprite Mode 2 | 4.133"", ""18 | Esprite 8 | 11 Robin Esprite Mode 2 | 4.175"", ""19"", ""20"", ""21 | Fixture 21"", ""22 | Fixture 22"", ""23 | Fixture 23"", ""28 | Fixture 28""]","[""preset:0.42"", ""preset:0.56""]","[""preset:0.42"", ""preset:0.56""]",[],[],1,1,"[""basic_fade""]","[{""attribute"": ""basic_fade"", ""raw_value"": ""5.00"", ""fixture_id"": null}]",C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-105738-c6da1cc5\uploads\Studio_54_main_sequences.xml
11,QJU,8.5,zebrik,Go,,5,,,,[11],"[""11 | Esprite 1 | 11 Robin Esprite Mode 2 | 2.133""]","[""preset:0.55""]","[""preset:0.55""]",[],[],0,1,"[""basic_fade""]","[{""attribute"": ""basic_fade"", ""raw_value"": ""5.00"", ""fixture_id"": null}]",C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-105738-c6da1cc5\uploads\Studio_54_main_sequences.xml
11,QJU,9,otevreni vrata,Go,,3,,,,"[11, 15, 16, 111, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 17, 18, 112, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 65, 66, 71, 72, 73, 74, 75, 76, 77, 78, 667, 31, 32, 33]","[""11 | Esprite 1 | 11 Robin Esprite Mode 2 | 2.133"", ""15 | Esprite 5 | 11 Robin Esprite Mode 2 | 3.085"", ""16 | Esprite 6 | 11 Robin Esprite Mode 2 | 3.127"", ""111 | Fixture 111"", ""3 | Spiider 3 | 3 Robin Spiider Mode 3 | 2.067"", ""4 | Spiider 4 | 3 Robin Spiider Mode 3 | 2.100"", ""5 | Spiider 5 | 3 Robin Spiider Mode 3 | 4.001"", ""6 | Spiider 6 | 3 Robin Spiider Mode 3 | 4.034"", ""7 | Spiider 7 | 3 Robin Spiider Mode 3 | 4.067"", ""8 | Spiider 8 | 3 Robin Spiider Mode 3 | 4.100"", ""9"", ""10"", ""12 | Esprite 2 | 11 Robin Esprite Mode 2 | 2.175"", ""13 | Esprite 3 | 11 Robin Esprite Mode 2 | 3.001"", ""14 | Esprite 4 | 11 Robin Esprite Mode 2 | 3.043"", ""17 | Esprite 7 | 11 Robin Esprite Mode 2 | 4.133"", ""18 | Esprite 8 | 11 Robin Esprite Mode 2 | 4.175"", ""112 | Fixture 112"", ""41 | RLB350M1 1 | 12 Robin LEDBeam 350 Mode 1 | 13.001"", ""42 | RLB350M1 2 | 12 Robin LEDBeam 350 Mode 1 | 13.023"", ""43 | RLB350M1 3 | 12 Robin LEDBeam 350 Mode 1 | 13.045"", ""44 | RLB350M1 4 | 12 Robin LEDBeam 350 Mode 1 | 13.067"", ""45 | RLB350M1 5 | 12 Robin LEDBeam 350 Mode 1 | 13.089"", ""46 | RLB350M1 6 | 12 Robin LEDBeam 350 Mode 1 | 13.111"", ""47 | RLB350M1 7 | 12 Robin LEDBeam 350 Mode 1 | 5.001"", ""48 | RLB350M1 8 | 12 Robin LEDBeam 350 Mode 1 | 5.023"", ""49 | RLB350M1 9 | 12 Robin LEDBeam 350 Mode 1 | 5.045"", ""50 | RLB350M1 10 | 12 Robin LEDBeam 350 Mode 1 | 5.067"", ""51 | RLB350M1 11 | 12 Robin LEDBeam 350 Mode 1 | 5.089"", ""52 | RLB350M1 12 | 12 Robin LEDBeam 350 Mode 1 | 5.111"", ""65 | HotboxW8 5 | 14 Hotbox RGBW 8 channel | 2.249"", ""66 | HotboxW8 6 | 14 Hotbox RGBW 8 channel | 2.257"", ""71 | HelM1 1 | 16 Helios Tube 1: RGB - 1 Pixel - Strobe Off | 14.001"", ""72 | HelM1 2 | 16 Helios Tube 1: RGB - 1 Pixel - Strobe Off | 14.004"", ""73 | HelM1 3 | 16 Helios Tube 1: RGB - 1 Pixel - Strobe Off | 14.007"", ""74 | HelM1 4 | 16 Helios Tube 1: RGB - 1 Pixel - Strobe Off | 14.010"", ""75 | HelM1 5 | 16 Helios Tube 1: RGB - 1 Pixel - Strobe Off | 14.013"", ""76 | HelM1 6 | 16 Helios Tube 1: RGB - 1 Pixel - Strobe Off | 14.016"", ""77 | HelM1 7 | 16 Helios Tube 1: RGB - 1 Pixel - Strobe Off | 14.019"", ""78 | HelM1 8 | 16 Helios Tube 1: RGB - 1 Pixel - Strobe Off | 14.022"", ""667 | voko | 17 Arcsource 12 RGB 00 | 9.430"", ""31 | Robin SVB1 1 | 7 Robin SVB1 Mode 3 - Pixel"", ""32 | Robin SVB1 2 | 7 Robin SVB1 Mode 3 - Pixel"", ""33 | Robin SVB1 3 | 7 Robin SVB1 Mode 3 - Pixel""]","[""preset:0.55""]","[""preset:0.55""]",[],[],63,19,"[""ANIMATIONINDEXROTATE"", ""ANIMATIONWHEEL"", ""COLORMIXER"", ""COLORMIXMSPEED"", ""COLORMIXMSPEED2"", ""CTO"", ""EFFECTINDEXROTATE"", ""EFFECTMACROS"", ""EFFECTWHEEL"", ""FIXTUREGLOBALRESET"", ""FROST"", ""GOBO2_POS"", ""INTENSITYMACROS"", ""POSITIONMSPEED"", ""PWMFREQUENCY"", ""PWMFREQUENCYADJUST"", ""ZOOM"", ""ZOOMMSPEED"", ""basic_fade""]","[{""attribute"": ""EFFECTWHEEL"", ""raw_value"": ""0.00"", ""fixture_id"": 11}, {""attribute"": ""POSITIONMSPEED"", ""raw_value"": ""0.00"", ""fixture_id"": 11}, {""attribute"": ""FIXTUREGLOBALRESET"", ""raw_value"": ""0.00"", ""fixture_id"": 11}, {""attribute"": ""PWMFREQUENCY"", ""raw_value"": ""0.00"", ""fixture_id"": 11}, {""attribute"": ""PWMFREQUENCYADJUST"", ""raw_value"": ""50.20"", ""fixture_id"": 11}, {""attribute"": ""INTENSITYMACROS"", ""raw_value"": ""0.00"", ""fixture_id"": 11}, {""attribute"": ""CTO"", ""raw_value"": ""0.00"", ""fixture_id"": 11}, {""attribute"": ""COLORMIXER"", ""raw_value"": ""0.00"", ""fixture_id"": 11}, {""attribute"": ""COLORMIXMSPEED"", ""raw_value"": ""0.00"", ""fixture_id"": 11}, {""attribute"": ""COLORMIXMSPEED2"", ""raw_value"": ""0.00"", ""fixture_id"": 11}, {""attribute"": ""ZOOMMSPEED"", ""raw_value"": ""0.00"", ""fixture_id"": 11}, {""attribute"": ""ANIMATIONWHEEL"", ""raw_value"": ""0.00"", ""fixture_id"": 11}, {""attribute"": ""ANIMATIONINDEXROTATE"", ""raw_value"": ""50.20"", ""fixture_id"": 11}, {""attribute"": ""EFFECTMACROS"", ""raw_value"": ""0.00"", ""fixture_id"": 11}, {""attribute"": ""GOBO2_POS"", ""raw_value"": ""50.20"", ""fixture_id"": 11}, {""attribute"": ""EFFECTINDEXROTATE"", ""raw_value"": ""0.00"", ""fixture_id"": 11}, {""attribute"": ""FROST"", ""raw_value"": ""0.00"", ""fixture_id"": 11}, {""attribute"": ""ZOOM"", ""raw_value"": ""100.00"", ""fixture_id"": 11}, {""attribute"": ""basic_fade"", ""raw_value"": ""3.00"", ""fixture_id"": null}]",C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-105738-c6da1cc5\uploads\Studio_54_main_sequences.xml
