fixture_id,fixture_name,fixture_type,fixture_patch,sequence_count,cue_count,preset_count,group_count,effect_count,hard_value_atoms,dimmer_value_atoms,preset_ref_atoms,group_ref_atoms,effect_ref_atoms,preset_types_available,top_attributes,attribute_frequency,feature_group_frequency,orphan_patch,is_sparse,control_mode
1,Spiider 1,3 Robin Spiider Mode 3,2.001,6,72,7,0,0,331,116,295,0,0,"[""0""]","[""DIM"", ""DIM2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35""]","{""DIM"": 67, ""DIM2"": 67, ""COLORRGB1"": 51, ""COLORRGB2"": 51, ""COLORRGB3"": 51, ""COLORRGB5"": 51, ""COLORRGB31"": 50, ""COLORRGB32"": 50, ""COLORRGB33"": 50, ""COLORRGB35"": 50, ""PAN"": 18, ""TILT"": 18, ""ZOOM"": 18, ""SHUTTER"": 16, ""SHUTTER2"": 16, ""POSITIONMSPEED"": 14, ""FIXTUREGLOBALRESET"": 14, ""COLORMIXER"": 14, ""COLORTEMPERATURE"": 14, ""MODE3"": 14, ""EFFECTMACROS"": 14, ""EFFECTMACRORATE"": 14, ""EFFECTMACROTIME"": 14, ""MACROS"": 14, ""EFFECTMACROS2"": 14}","{""Color"": 432, ""Dimmer"": 166, ""Other"": 98, ""Position"": 50, ""Beam"": 18}",False,False,mixed
2,Spiider 2,3 Robin Spiider Mode 3,2.034,9,69,17,0,0,258,96,219,0,0,"[""0""]","[""DIM"", ""DIM2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35""]","{""DIM"": 57, ""DIM2"": 57, ""COLORRGB1"": 27, ""COLORRGB2"": 27, ""COLORRGB3"": 27, ""COLORRGB5"": 27, ""COLORRGB31"": 26, ""COLORRGB32"": 26, ""COLORRGB33"": 26, ""COLORRGB35"": 26, ""PAN"": 19, ""TILT"": 19, ""SHUTTER"": 19, ""ZOOM"": 19, ""SHUTTER2"": 19, ""POSITIONMSPEED"": 18, ""FIXTUREGLOBALRESET"": 18, ""COLORMIXER"": 18, ""COLORTEMPERATURE"": 18, ""MODE3"": 18, ""EFFECTMACROS"": 18, ""EFFECTMACRORATE"": 18, ""EFFECTMACROTIME"": 18, ""MACROS"": 18, ""EFFECTMACROS2"": 18}","{""Color"": 248, ""Dimmer"": 152, ""Other"": 126, ""Position"": 56, ""Beam"": 19}",False,False,mixed
3,Spiider 3,3 Robin Spiider Mode 3,2.067,10,72,19,0,0,258,96,244,0,0,"[""0""]","[""DIM"", ""DIM2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35""]","{""DIM"": 58, ""DIM2"": 58, ""COLORRGB1"": 28, ""COLORRGB2"": 28, ""COLORRGB3"": 28, ""COLORRGB5"": 28, ""COLORRGB31"": 27, ""COLORRGB32"": 27, ""COLORRGB33"": 27, ""COLORRGB35"": 27, ""PAN"": 20, ""TILT"": 20, ""SHUTTER"": 20, ""ZOOM"": 20, ""SHUTTER2"": 20, ""POSITIONMSPEED"": 19, ""FIXTUREGLOBALRESET"": 19, ""COLORMIXER"": 19, ""COLORTEMPERATURE"": 19, ""MODE3"": 19, ""EFFECTMACROS"": 19, ""EFFECTMACRORATE"": 19, ""EFFECTMACROTIME"": 19, ""MACROS"": 19, ""EFFECTMACROS2"": 19}","{""Color"": 258, ""Dimmer"": 156, ""Other"": 133, ""Position"": 59, ""Beam"": 20}",False,False,mixed
4,Spiider 4,3 Robin Spiider Mode 3,2.100,11,72,17,0,0,227,72,219,0,0,"[""0""]","[""DIM"", ""DIM2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35""]","{""DIM"": 42, ""DIM2"": 42, ""COLORRGB1"": 26, ""COLORRGB2"": 26, ""COLORRGB3"": 26, ""COLORRGB5"": 26, ""COLORRGB31"": 25, ""COLORRGB32"": 25, ""COLORRGB33"": 25, ""COLORRGB35"": 25, ""PAN"": 18, ""TILT"": 18, ""SHUTTER"": 18, ""ZOOM"": 18, ""SHUTTER2"": 18, ""POSITIONMSPEED"": 16, ""FIXTUREGLOBALRESET"": 16, ""COLORMIXER"": 16, ""COLORTEMPERATURE"": 16, ""MODE3"": 16, ""EFFECTMACROS"": 16, ""EFFECTMACRORATE"": 16, ""EFFECTMACROTIME"": 16, ""MACROS"": 16, ""EFFECTMACROS2"": 16}","{""Color"": 236, ""Dimmer"": 120, ""Other"": 112, ""Position"": 52, ""Beam"": 18}",False,False,mixed
5,Spiider 5,3 Robin Spiider Mode 3,4.001,8,82,17,0,0,331,116,295,0,0,"[""0""]","[""DIM"", ""DIM2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35""]","{""DIM"": 67, ""DIM2"": 67, ""COLORRGB1"": 51, ""COLORRGB2"": 51, ""COLORRGB3"": 51, ""COLORRGB5"": 51, ""COLORRGB31"": 50, ""COLORRGB32"": 50, ""COLORRGB33"": 50, ""COLORRGB35"": 50, ""PAN"": 18, ""TILT"": 18, ""ZOOM"": 18, ""SHUTTER"": 16, ""SHUTTER2"": 16, ""POSITIONMSPEED"": 14, ""FIXTUREGLOBALRESET"": 14, ""COLORMIXER"": 14, ""COLORTEMPERATURE"": 14, ""MODE3"": 14, ""EFFECTMACROS"": 14, ""EFFECTMACRORATE"": 14, ""EFFECTMACROTIME"": 14, ""MACROS"": 14, ""EFFECTMACROS2"": 14}","{""Color"": 432, ""Dimmer"": 166, ""Other"": 98, ""Position"": 50, ""Beam"": 18}",False,False,mixed
6,Spiider 6,3 Robin Spiider Mode 3,4.034,10,70,19,0,0,258,94,219,0,0,"[""0""]","[""DIM"", ""DIM2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35""]","{""DIM"": 56, ""DIM2"": 56, ""COLORRGB1"": 27, ""COLORRGB2"": 27, ""COLORRGB3"": 27, ""COLORRGB5"": 27, ""COLORRGB31"": 26, ""COLORRGB32"": 26, ""COLORRGB33"": 26, ""COLORRGB35"": 26, ""PAN"": 19, ""TILT"": 19, ""SHUTTER"": 19, ""ZOOM"": 19, ""SHUTTER2"": 19, ""POSITIONMSPEED"": 18, ""FIXTUREGLOBALRESET"": 18, ""COLORMIXER"": 18, ""COLORTEMPERATURE"": 18, ""MODE3"": 18, ""EFFECTMACROS"": 18, ""EFFECTMACRORATE"": 18, ""EFFECTMACROTIME"": 18, ""MACROS"": 18, ""EFFECTMACROS2"": 18}","{""Color"": 248, ""Dimmer"": 150, ""Other"": 126, ""Position"": 56, ""Beam"": 19}",False,False,mixed
7,Spiider 7,3 Robin Spiider Mode 3,4.067,10,73,19,0,0,269,94,248,0,0,"[""0""]","[""DIM"", ""DIM2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35""]","{""DIM"": 60, ""DIM2"": 60, ""COLORRGB1"": 29, ""COLORRGB2"": 29, ""COLORRGB3"": 29, ""COLORRGB5"": 29, ""COLORRGB31"": 28, ""COLORRGB32"": 28, ""COLORRGB33"": 28, ""COLORRGB35"": 28, ""PAN"": 21, ""TILT"": 21, ""ZOOM"": 21, ""SHUTTER"": 20, ""SHUTTER2"": 20, ""POSITIONMSPEED"": 19, ""FIXTUREGLOBALRESET"": 19, ""COLORMIXER"": 19, ""COLORTEMPERATURE"": 19, ""MODE3"": 19, ""EFFECTMACROS"": 19, ""EFFECTMACRORATE"": 19, ""EFFECTMACROTIME"": 19, ""MACROS"": 19, ""EFFECTMACROS2"": 19}","{""Color"": 266, ""Dimmer"": 160, ""Other"": 133, ""Position"": 61, ""Beam"": 21}",False,False,mixed
8,Spiider 8,3 Robin Spiider Mode 3,4.100,9,70,17,0,0,216,66,219,0,0,"[""0""]","[""DIM"", ""DIM2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35""]","{""DIM"": 40, ""DIM2"": 40, ""COLORRGB1"": 25, ""COLORRGB2"": 25, ""COLORRGB3"": 25, ""COLORRGB5"": 25, ""COLORRGB31"": 24, ""COLORRGB32"": 24, ""COLORRGB33"": 24, ""COLORRGB35"": 24, ""PAN"": 17, ""TILT"": 17, ""SHUTTER"": 17, ""ZOOM"": 17, ""SHUTTER2"": 17, ""POSITIONMSPEED"": 16, ""FIXTUREGLOBALRESET"": 16, ""COLORMIXER"": 16, ""COLORTEMPERATURE"": 16, ""MODE3"": 16, ""EFFECTMACROS"": 16, ""EFFECTMACRORATE"": 16, ""EFFECTMACROTIME"": 16, ""MACROS"": 16, ""EFFECTMACROS2"": 16}","{""Color"": 228, ""Dimmer"": 114, ""Other"": 112, ""Position"": 50, ""Beam"": 17}",False,False,mixed
9,,,,6,47,11,0,0,0,0,0,0,0,"[""0""]",[],{},{},False,False,none
10,,,,5,28,11,0,0,0,0,0,0,0,"[""0""]",[],{},{},False,False,none
