issue_type,severity,subject,details
mixed_control_mode,high,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off / COLORRGB1,"hard_atoms=213, preset_refs=186, fixtures=40, cues=32"
mixed_control_mode,high,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off / COLORRGB2,"hard_atoms=213, preset_refs=186, fixtures=40, cues=32"
mixed_control_mode,high,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off / COLORRGB3,"hard_atoms=201, preset_refs=186, fixtures=40, cues=32"
mixed_control_mode,high,7 Robin Spiider Mode 3 / COLORMIXER,"hard_atoms=34, preset_refs=116, fixtures=10, cues=42"
mixed_control_mode,high,7 Robin Spiider Mode 3 / COLORMIXMODE,"hard_atoms=34, preset_refs=116, fixtures=10, cues=42"
mixed_control_mode,high,7 Robin Spiider Mode 3 / COLORRGB1,"hard_atoms=100, preset_refs=117, fixtures=10, cues=52"
mixed_control_mode,high,7 Robin Spiider Mode 3 / COLORRGB2,"hard_atoms=102, preset_refs=117, fixtures=10, cues=52"
mixed_control_mode,high,7 Robin Spiider Mode 3 / COLORRGB3,"hard_atoms=100, preset_refs=117, fixtures=10, cues=52"
mixed_control_mode,high,7 Robin Spiider Mode 3 / COLORRGB5,"hard_atoms=100, preset_refs=117, fixtures=10, cues=52"
mixed_control_mode,high,7 Robin Spiider Mode 3 / CTC,"hard_atoms=34, preset_refs=116, fixtures=10, cues=42"
mixed_control_mode,high,7 Robin Spiider Mode 3 / DIM,"hard_atoms=301, preset_refs=79, fixtures=10, cues=69"
mixed_control_mode,high,7 Robin Spiider Mode 3 / LAMPCONTROL,"hard_atoms=34, preset_refs=121, fixtures=10, cues=41"
mixed_control_mode,high,7 Robin Spiider Mode 3 / PAN,"hard_atoms=101, preset_refs=130, fixtures=10, cues=55"
mixed_control_mode,high,7 Robin Spiider Mode 3 / PIXELEFFECTS,"hard_atoms=23, preset_refs=126, fixtures=10, cues=39"
mixed_control_mode,high,7 Robin Spiider Mode 3 / PIXELEFFECTSFADE,"hard_atoms=23, preset_refs=126, fixtures=10, cues=39"
mixed_control_mode,high,7 Robin Spiider Mode 3 / PIXELEFFECTSSPEED,"hard_atoms=23, preset_refs=126, fixtures=10, cues=39"
mixed_control_mode,high,7 Robin Spiider Mode 3 / POSITIONMSPEED,"hard_atoms=34, preset_refs=121, fixtures=10, cues=41"
mixed_control_mode,high,7 Robin Spiider Mode 3 / SHUTTER,"hard_atoms=46, preset_refs=121, fixtures=10, cues=41"
mixed_control_mode,high,7 Robin Spiider Mode 3 / TILT,"hard_atoms=98, preset_refs=130, fixtures=10, cues=54"
mixed_control_mode,high,7 Robin Spiider Mode 3 / ZOOM,"hard_atoms=79, preset_refs=142, fixtures=10, cues=52"
preset_name_variation,medium,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off / preset type 0,"4 preset names: Asteta Main, Bert zjeveni, Eff Front, Preset 0.9"
preset_name_variation,medium,7 Robin Spiider Mode 3 / preset type 0,"54 preset names: Bert na stred, Bert sokl, Bert zjeveni, BertStartSolo, BertZjeveni, Do zdi-Start, Eff Front, F-DoHnizda"
pool_name_entropy,low,Preset type 0,56 distinct names in pool
