sequence_number,cue_number,cue_name,fixture_id,fixture_name,fixture_type,fixture_patch,control_mode,hard_attribute_count,hard_attributes,preset_ref_count,preset_refs,preset_types
2,85,Dekovacka,101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,mixed,19,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""FLOWERCOLORMACROS"", ""FLOWEREFFECT"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.16"", ""0.4""]","[""0""]"
2,85,Dekovacka,102,RSpiide3 2,7 Robin Spiider Mode 3,4.001,mixed,19,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""FLOWERCOLORMACROS"", ""FLOWEREFFECT"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.16"", ""0.4""]","[""0""]"
2,85,Dekovacka,201,SPIDER 33 1,7 Robin Spiider Mode 3,4.403,mixed,19,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""FLOWERCOLORMACROS"", ""FLOWEREFFECT"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.16"", ""0.4""]","[""0""]"
2,85,Dekovacka,202,SPIDER 33 2,7 Robin Spiider Mode 3,4.436,mixed,19,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""FLOWERCOLORMACROS"", ""FLOWEREFFECT"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.16"", ""0.4""]","[""0""]"
2,86,lidi,101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,mixed,19,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""FLOWERCOLORMACROS"", ""FLOWEREFFECT"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.16"", ""0.4""]","[""0""]"
2,86,lidi,102,RSpiide3 2,7 Robin Spiider Mode 3,4.001,mixed,19,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""FLOWERCOLORMACROS"", ""FLOWEREFFECT"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.16"", ""0.4""]","[""0""]"
2,86,lidi,201,SPIDER 33 1,7 Robin Spiider Mode 3,4.403,mixed,19,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""FLOWERCOLORMACROS"", ""FLOWEREFFECT"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.16"", ""0.4""]","[""0""]"
2,86,lidi,202,SPIDER 33 2,7 Robin Spiider Mode 3,4.436,mixed,19,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""FLOWERCOLORMACROS"", ""FLOWEREFFECT"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.16"", ""0.4""]","[""0""]"
2,25,Vilda odchazi,102,RSpiide3 2,7 Robin Spiider Mode 3,4.001,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",3,"[""0.17"", ""0.18"", ""0.5""]","[""0""]"
2,85,Dekovacka,107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",3,"[""0.4"", ""0.49"", ""0.6""]","[""0""]"
