fixture_id,name,label,display_name,fixture_type,mode,patch,universe,address,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,scale_x,scale_y,scale_z,source_files,flags
1,HelDGB8S 1,HelDGB8S 1,HelDGB8S 1,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.001,1,1,0.581,1.229,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
2,HelDGB8S 2,HelDGB8S 2,HelDGB8S 2,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.025,1,25,1,0.775,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
3,HelDGB8S 3,HelDGB8S 3,HelDGB8S 3,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.049,1,49,1.547,0.938,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
4,HelDGB8S 4,HelDGB8S 4,HelDGB8S 4,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.073,1,73,3,0,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
5,HelDGB8S 5,HelDGB8S 5,HelDGB8S 5,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.097,1,97,4,0,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
6,HelDGB8S 6,HelDGB8S 6,HelDGB8S 6,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.121,1,121,5,0,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
7,HelDGB8S 7,HelDGB8S 7,HelDGB8S 7,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.145,1,145,6,0,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
8,HelDGB8S 8,HelDGB8S 8,HelDGB8S 8,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.169,1,169,7,0,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
9,HelDGB8S 9,HelDGB8S 9,HelDGB8S 9,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.193,1,193,8,0,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
10,HelDGB8S 10,HelDGB8S 10,HelDGB8S 10,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.217,1,217,9,0,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
11,HelDGB8S 11,HelDGB8S 11,HelDGB8S 11,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.241,1,241,0,-1,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
12,HelDGB8S 12,HelDGB8S 12,HelDGB8S 12,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.265,1,265,1,-1,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
13,HelDGB8S 13,HelDGB8S 13,HelDGB8S 13,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.289,1,289,2,-1,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
14,HelDGB8S 14,HelDGB8S 14,HelDGB8S 14,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.313,1,313,3,-1,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
15,HelDGB8S 15,HelDGB8S 15,HelDGB8S 15,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.337,1,337,4,-1,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
16,HelDGB8S 16,HelDGB8S 16,HelDGB8S 16,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.361,1,361,5,-1,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
17,HelDGB8S 17,HelDGB8S 17,HelDGB8S 17,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.385,1,385,6,-1,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
18,HelDGB8S 18,HelDGB8S 18,HelDGB8S 18,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.409,1,409,7,-1,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
19,HelDGB8S 19,HelDGB8S 19,HelDGB8S 19,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.433,1,433,8,-1,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
20,HelDGB8S 20,HelDGB8S 20,HelDGB8S 20,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.457,1,457,9,-1,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
21,HelDGB8S 21,HelDGB8S 21,HelDGB8S 21,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.001,2,1,0,-2,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
22,HelDGB8S 22,HelDGB8S 22,HelDGB8S 22,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.025,2,25,1,-2,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
23,HelDGB8S 23,HelDGB8S 23,HelDGB8S 23,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.049,2,49,2,-2,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
24,HelDGB8S 24,HelDGB8S 24,HelDGB8S 24,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.073,2,73,3,-2,0,0,-0,0,1,1,1,"[""web_jobs_bgtest_b4154c16\\20260326-111809-63eab922\\uploads\\Tram_Analyz_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true}"
