id,preset_type,number,xml_index,name,fixture_ids,fixture_details,references,value_count,source_file
preset:0.1:Tram_Analyz_preset_0.xml:1,0,0.1,0,Kontra Zaklad,103 104 105 106,103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067 || 104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133 || 106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166,,28,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.3:Tram_Analyz_preset_0.xml:2,0,0.3,2,Schody,103 106,103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067 || 106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166,,4,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.4:Tram_Analyz_preset_0.xml:3,0,0.4,3,tepla vsude,101 102 103 104 105 106 107 108 201 202,101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001 || 103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067 || 104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133 || 106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166 || 107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271 || 108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304 || 201 | SPIDER 33 1 | 7 Robin Spiider Mode 3 | 4.403 || 202 | SPIDER 33 2 | 7 Robin Spiider Mode 3 | 4.436,,74,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.5:Tram_Analyz_preset_0.xml:4,0,0.5,4,front,101 102 201 202,101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001 || 201 | SPIDER 33 1 | 7 Robin Spiider Mode 3 | 4.403 || 202 | SPIDER 33 2 | 7 Robin Spiider Mode 3 | 4.436,,40,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.6:Tram_Analyz_preset_0.xml:5,0,0.6,5,Zeme Pruvany,107 108,107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271 || 108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304,,8,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.7:Tram_Analyz_preset_0.xml:6,0,0.7,6,BertZjeveni,101 102,101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001,,34,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.8:Tram_Analyz_preset_0.xml:7,0,0.8,7,Usinani,105,105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133,,14,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.9:Tram_Analyz_preset_0.xml:8,0,0.9,8,Preset 0.9,21 2 3 4 5 6 7 8 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39,21 | HelDGB8S 21 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.001 || 2 | HelDGB8S 2 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.025 || 3 | HelDGB8S 3 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.049 || 4 | HelDGB8S 4 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.073 || 5 | HelDGB8S 5 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.097 || 6 | HelDGB8S 6 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.121 || 7 | HelDGB8S 7 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.145 || 8 | HelDGB8S 8 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.169 || 22 | HelDGB8S 22 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.025 || 23 | HelDGB8S 23 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.049 || 24 | HelDGB8S 24 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.073 || 25 | HelDGB8S 25 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.097 || 26 | HelDGB8S 26 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.121 || 27 | HelDGB8S 27 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.145 || 28 | HelDGB8S 28 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.169 || 29 | HelDGB8S 29 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.193 || 30 | HelDGB8S 30 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.217 || 31 | HelDGB8S 31 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.241 || 32 | HelDGB8S 32 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.265 || 33 | HelDGB8S 33 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.289 || 34 | HelDGB8S 34 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.313 || 35 | HelDGB8S 35 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.337 || 36 | HelDGB8S 36 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.361 || 37 | HelDGB8S 37 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.385 || 38 | HelDGB8S 38 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.409 || 39 | HelDGB8S 39 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.433,,76,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.10:Tram_Analyz_preset_0.xml:9,0,0.10,9,VildaZjeveniZed,107,107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271,,17,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.11:Tram_Analyz_preset_0.xml:10,0,0.11,10,Eff Front,101 2 102 201 202,101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 2 | HelDGB8S 2 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.025 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001 || 201 | SPIDER 33 1 | 7 Robin Spiider Mode 3 | 4.403 || 202 | SPIDER 33 2 | 7 Robin Spiider Mode 3 | 4.436,,44,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
