category,subject,risk_score,details
cue,Seq 2 Cue 25 Vilda odchazi,10,many hard values (72); touches many feature groups (6); mixed hard and preset control; depends on several presets (5)
cue,Seq 2 Cue 85 Dekovacka,10,many hard values (146); touches many feature groups (6); mixed hard and preset control; depends on several presets (7)
cue,Seq 2 Cue 11 J. SOLO - 2:47,9,many hard values (48); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 18 Rackove rostazeny nohy 5:05,9,many hard values (77); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 20 Solo Zacatek Bert,9,many hard values (34); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 30.5 Soud - zelena- - bici hudba,9,many hard values (46); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 31 Soud - proces-Na-schody,9,many hard values (49); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 32 Po procesu - s hudbou,9,many hard values (41); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 36 Jen prava strana - Wilda na schodech,9,many hard values (34); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 46 Velkej ptak,9,many hard values (51); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 53 Zacatek trio EFF 16,9,many hard values (67); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 55 Groteska boj o zradlo - Velikeho racka,9,many hard values (197); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 78 Svicka,9,many hard values (47); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 80 Flo konec sola stred,9,many hard values (55); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 86 lidi,9,many hard values (265); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 38 Vkladaji astery POZA se k lidem-zastavi se,8,elevated hard values (27); touches many feature groups (6); mixed hard and preset control; depends on several presets (5)
cue,Seq 2 Cue 0 Cue Zero,7,many hard values (344); touches many feature groups (6)
cue,Seq 2 Cue 14 Groteska W. hodi zradlo,7,elevated hard values (26); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 16 Boj o zradlo - Na Housle 2:12,7,elevated hard values (22); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 21 cela plocha,7,elevated hard values (23); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 24 Jonatanuv PAD,7,many hard values (49); touches multiple feature groups (4); mixed hard and preset control
cue,Seq 2 Cue 26 Jonathan svicka,7,elevated hard values (18); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 3 Prichod tanecniku,7,elevated hard values (21); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 33 Vilda Domluvi,7,elevated hard values (27); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 35 zustava sam LET- GESTO,7,elevated hard values (18); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 4 Hudba,7,elevated hard values (17); touches many feature groups (6); mixed hard and preset control
cue,Seq 2 Cue 44 Duet - velky nebe -HNED,7,elevated hard values (24); touches many feature groups (6); mixed hard and preset control
