sequence_number,sequence_name,cue_number,cue_name,fixture_id,fixture_name,fixture_type,fixture_patch,dimmer,position,gobo,color,beam,focus,control,preset_refs,hard_value_count,preset_value_count
2,qju,0,Cue Zero,1,HelDGB8S 1,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.001,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,2,HelDGB8S 2,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.025,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,3,HelDGB8S 3,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.049,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,4,HelDGB8S 4,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.073,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,5,HelDGB8S 5,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.097,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,6,HelDGB8S 6,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.121,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,7,HelDGB8S 7,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.145,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,8,HelDGB8S 8,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.169,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,9,HelDGB8S 9,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.193,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,10,HelDGB8S 10,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.217,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,11,HelDGB8S 11,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.241,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,12,HelDGB8S 12,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.265,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,13,HelDGB8S 13,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.289,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,14,HelDGB8S 14,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.313,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,15,HelDGB8S 15,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.337,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,16,HelDGB8S 16,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.361,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,17,HelDGB8S 17,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.385,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,18,HelDGB8S 18,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.409,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,19,HelDGB8S 19,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.433,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,20,HelDGB8S 20,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.457,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,21,HelDGB8S 21,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.001,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,22,HelDGB8S 22,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.025,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,23,HelDGB8S 23,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.049,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,24,HelDGB8S 24,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.073,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,25,HelDGB8S 25,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.097,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,26,HelDGB8S 26,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.121,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,27,HelDGB8S 27,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.145,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
2,qju,0,Cue Zero,28,HelDGB8S 28,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.169,"[""H DIM=DefaultLink""]",[],[],"[""H COLORRGB1=DefaultLink"", ""H COLORRGB2=DefaultLink"", ""H COLORRGB3=DefaultLink""]",[],[],[],[],4,0
